"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"36020000","2",1973-01-01,"1","1",NA,NA,NA,NA,NA,"0","0","0","0","0",NA,1.6784,1.2017,0.7244,0.368,0.2276,0.187,0.1157,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588,0.1496,4.3797,3.399,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36020000","2",1973-02-01,"1","1","1.3134","0","0.1587","1","12","1","1","1","0","0",1.3134,0.8638,0.5951,0.4207,0.3183,0.187,0.0853,0.0363,0.0185,0.0185,0.0058,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588,0.187,0.187,0.1496,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,2017-11-13
"36020000","2",1973-03-01,"1","1","78.6666","0.0588","4.6953","24","2","1","1","1",NA,"0",0.1157,0.0588,0.0588,0.4761,0.3183,0.187,0.1496,0.1157,0.0853,0.0853,0.0853,0.0588,0.1157,6.7136,4.3797,1.6784,0.9371,0.5951,0.4761,0.4207,0.368,0.6585,0.5951,78.6666,22.4077,8.3523,5.2537,4.5908,4.1737,1.9466,1.4301,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36020000","2",1973-04-01,"1","1","251.076","0.4761","34.9902","15","4","1","1","1",NA,"0",1.0128,0.8638,0.5951,0.4761,0.8638,4.5908,2.386,0.8638,0.7929,31.1449,31.1449,32.8357,71.7544,234.006,251.076,124.579,47.2834,32.8357,22.8819,12.8711,9.2387,8.0668,5.9613,5.0278,3.9726,6.2071,8.6428,9.2387,8.9383,79.553,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36020000","2",1973-05-01,"1","1","32.8357","0.5951","4.944","2","28","1","1","1",NA,"0",16.6947,32.8357,25.8316,12.166,10.1698,8.3523,5.7205,3.9726,9.5441,5.0278,3.7764,2.7038,2.0881,1.4301,1.0949,1.0128,0.9371,0.9371,0.8638,0.7929,0.7244,0.7244,0.6585,0.6585,0.6585,0.6585,0.6585,0.5951,0.6585,0.6585,0.6585,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36020000","2",1973-06-01,"1","1","0.6585","0.1157","0.3433","1","26","1","1","1",NA,"0",0.6585,0.6585,0.5951,0.5951,0.5951,0.5343,0.5343,0.5343,0.5343,0.5343,0.4761,0.4761,0.368,0.2714,0.2714,0.2714,0.2276,0.2276,0.2276,0.2276,0.2276,0.187,0.187,0.1496,0.1496,0.1157,0.1157,0.1157,0.1157,0.1157,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36020000","2",1973-07-01,"1","1","0.1157","0","0.0253","1","24","1","1","1","0","0",0.1157,0.1157,0.0853,0.0588,0.0363,0.0363,0.0363,0.0363,0.0363,0.0363,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0058,0.0058,0.0058,0.0058,0,0,0,0,0,0,0,0,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36020000","2",1973-08-01,"1","1",NA,NA,NA,NA,NA,"0","0","0","0","0",0,0.0058,0.0058,0.0185,0.0363,0.0363,0.0363,0.0363,0.0363,0.0363,0.0363,0.0185,0.0185,0.0185,0.0058,0.0058,0.0058,0.0058,0.0058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-11-13
"36020000","2",1973-09-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-13
"36020000","2",1973-10-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-13
"36020000","2",1973-11-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-13
"36020000","2",1973-12-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-13
"36020000","2",1974-01-01,"1","1",NA,NA,NA,NA,NA,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1737,0.5343,0.1157,1.81,0.8638,0.7929,5.7205,14.7208,41.3171,22.8819,10.49,10.1698,29.4987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","2",2017-11-13
"36020000","2",1974-02-01,"1","1","40.679","1.0128","12.7097","23","17","1","1","1",NA,"0",30.5912,27.3734,31.1449,23.8453,16.6947,12.166,8.9383,5.7205,5.4846,3.7764,2.7038,2.386,1.81,1.5518,1.3134,1.0949,1.0128,2.0881,14.3409,11.8208,9.5441,5.0278,40.679,7.24,33.9877,33.9877,11.4807,8.0668,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,2017-11-13
"36020000","2",1974-03-01,"1","1","1023.34","4.1737","173.168","26","4","1","1","1",NA,"0",7.24,6.7136,6.4579,4.1737,12.166,10.8153,8.0668,9.5441,6.7136,97.3377,46.6006,53.6519,33.4092,41.3171,26.3406,40.679,50.7718,40.679,32.8357,30.5912,33.4092,55.1218,198.849,440.063,726.683,1023.34,795.396,740.177,514.012,171.736,103.326,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36020000","2",1974-04-01,"1","1","841.001","37.563","299.223","13","11","2","2","2","0","0",40.679,45.2499,122.365,61.9819,197.446,197.446,147.819,81.3406,45.9228,43.2612,37.563,99.314,841.001,676.537,383.474,304.149,366.111,650.864,841.001,784.193,643.259,491.666,437.975,369.935,270.382,205.938,165.268,135.951,137.115,151.476,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,2017-11-13
"36020000","2",1974-05-01,"1","1","189.134","14.7208","55.901","2","27","2","2","2","0","0",179.661,189.134,161.447,121.265,75.1708,55.1218,57.3638,51.4844,44.5821,41.3171,51.4844,68.4174,63.561,83.1482,84.9755,54.3843,41.9602,34.5712,28.4261,23.3611,21.0148,19.6667,18.7927,18.7927,17.1044,15.1057,14.7208,15.1057,15.4955,24.3344,41.9602,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",2020-11-18
"36020000","2",1974-06-01,"1","1","47.2834","2.0881","11.0679","1","30","2","2","2","0","0",47.2834,39.4177,31.1449,24.3344,20.1111,17.1044,15.1057,13.5961,11.8208,10.1698,9.5441,8.9383,8.3523,7.7862,6.7136,6.2071,5.7205,5.2537,5.0278,4.5908,4.1737,4.1737,3.9726,3.7764,3.5852,3.399,3.2178,3.0415,2.386,2.0881,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,2020-11-18
"36020000","2",1974-07-01,"1","1","2.0881","0.7929","1.3832","1","31","2","2","2","0","0",2.0881,2.0881,2.0881,1.9466,1.9466,1.81,1.81,1.6784,1.6784,1.5518,1.5518,1.5518,1.4301,1.4301,1.4301,1.3134,1.3134,1.2017,1.2017,1.2017,1.0949,1.0949,1.0949,1.0128,1.0128,0.9371,0.9371,0.8638,0.8638,0.8638,0.7929,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",2020-11-18
