"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"35740000","2",1984-04-01,"1","1","4.6685","0.0951","0.578","10","8","2","2","2",NA,"0",0.4425,0.3174,0.2626,0.213,0.1115,0.5882,0.1115,0.0951,0.1482,4.6685,0.5499,0.1901,0.2626,0.1482,0.1482,0.1115,1.964,0.7545,0.5882,1.4367,0.6688,0.9413,0.2626,0.477,0.5499,0.2626,0.1685,0.477,0.2894,0.1292,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,2017-11-14
"35740000","2",1984-05-01,"1","1","14.1465","0.1292","1.4918","11","2","2","2","2",NA,"0",0.1685,0.1292,0.1292,1.6901,0.5499,0.8927,0.4093,0.5499,0.8927,0.711,14.1465,1.7567,0.8927,0.8927,0.8927,0.477,1.1487,1.3176,9.9953,0.8927,1.2037,2.2583,0.8927,0.7993,0.8927,0.5128,0.3174,0.2626,0.213,0.1901,0.1685,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",2017-11-14
"35740000","2",1984-06-01,"1","1","2.573","0.1482","1.1154","20","3","2","2","2",NA,"0",0.1901,0.213,0.1482,0.1482,0.8454,0.2894,0.2894,0.9413,0.3468,0.213,0.2371,0.5128,0.9413,2.1086,2.0357,1.8245,1.5608,0.9413,2.1086,2.573,2.3351,2.4131,2.0357,1.8245,1.8245,0.8927,0.9413,0.9413,0.9413,0.8454,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,2017-11-14
"35740000","2",1984-07-01,"1","1","12.6707","0.3468","2.2885","26","14","2","1","2",NA,"0",0.7545,0.7993,0.6688,0.477,0.5128,0.6688,0.8927,0.8927,0.9413,0.9413,0.8454,0.711,0.5882,0.3468,0.477,0.9413,0.9413,2.9082,3.5437,3.3558,2.7381,2.1828,10.8467,11.0658,6.3223,12.6707,0.6688,0.6279,0.5499,0.5499,0.5128,"1","1","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1",2017-11-14
"35740000","2",1984-08-01,"1","1","0.477","0.0536","0.1937","1","7","1","1","1",NA,"0",0.477,0.477,0.4425,0.4425,0.4425,0.08,0.0536,0.0536,0.08,0.1115,0.1115,0.1115,0.1115,0.1482,0.1901,0.213,0.213,0.1685,0.1685,0.1685,0.1685,0.1482,0.1292,0.1115,0.1115,0.1115,0.1115,0.477,0.08,0.08,0.213,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35740000","2",1984-09-01,"1","1","1.6901","0.0536","0.3155","2","9","1","1","1",NA,"0",1.4981,1.6901,0.8927,0.711,0.5499,0.477,0.4093,0.4093,0.0536,0.0536,0.0536,0.0536,0.0536,0.0536,0.0536,0.0536,0.0536,0.0536,0.0536,0.0536,0.0536,0.4093,0.4093,0.1115,0.0536,0.0536,0.0536,0.3468,0.3468,0.3468,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-14
"35740000","2",1984-10-01,"1","1","0.4425","0.3468","0.3933","30","1","1","1","1",NA,"0",0.3468,0.3774,0.3774,0.3468,0.3468,0.3468,0.4093,0.4093,0.4093,0.4093,0.3468,0.3468,0.3468,0.3468,0.4093,0.4093,0.4093,0.4093,0.4093,0.4093,0.4093,0.4093,0.4093,0.4093,0.4093,0.4093,0.4093,0.4093,0.4093,0.4425,0.4425,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35740000","2",1984-11-01,"1","1","0.477","0.4425","0.4471","4","1","1","1","1",NA,"0",0.4425,0.4425,0.4425,0.477,0.4425,0.4425,0.4425,0.4425,0.4425,0.477,0.4425,0.4425,0.4425,0.4425,0.477,0.4425,0.4425,0.477,0.4425,0.4425,0.4425,0.4425,0.4425,0.4425,0.4425,0.4425,0.4425,0.4425,0.4425,0.4425,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-14
"35740000","2",1984-12-01,"1","1","0.477","0.4425","0.467","1","4","1","1","1",NA,"0",0.477,0.477,0.477,0.4425,0.4425,0.4425,0.4425,0.4425,0.4425,0.4425,0.4425,0.477,0.4425,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35740000","2",1985-01-01,"1","1","0.8927","0.477","0.677","10","1","1","1","1",NA,"0",0.477,0.5499,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.8927,0.8927,0.8927,0.8927,0.8927,0.8927,0.8927,0.8927,0.8927,0.8927,0.8927,0.8927,0.5499,0.5499,0.5499,0.5499,0.5499,0.5499,0.5499,0.5499,0.7545,0.7545,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35740000","2",1985-02-01,"1","1","10.8467","0.6279","2.9631","25","19","1","1","1",NA,"0",0.7545,0.711,2.4131,1.6901,3.0834,0.9413,3.0834,0.9413,3.6396,7.656,2.1086,0.9413,0.9413,0.8454,0.8927,0.9413,0.9413,0.8454,0.6279,1.8936,2.1828,4.0359,5.4643,6.9733,10.8467,7.1073,5.1156,5.3468,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,2017-11-14
"35740000","2",1985-03-01,"1","1","31.0328","4.6685","12.369","3","13","1","1","1",NA,"0",7.1073,6.5789,31.0328,15.7165,7.656,14.6593,9.9953,9.1164,5.947,9.7887,7.9379,7.2426,4.6685,4.7783,19.7541,15.9874,9.5792,6.5789,24.3304,23.643,8.3703,8.0808,7.1073,6.3223,31.0328,15.4482,27.1938,13.894,7.2426,5.5831,11.0658,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35740000","2",1985-04-01,"1","1","31.501","6.196","13.6753","16","1","1","1","1",NA,"0",6.196,7.5169,14.1465,15.9874,15.9874,8.8142,7.656,7.9379,11.9676,23.9853,31.0328,17.244,15.2333,13.1328,11.6159,31.501,15.2333,12.039,26.0129,14.5143,10.1999,10.3961,10.3961,8.0039,7.834,9.8137,8.3498,10.7945,13.3579,13.3579,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-14
"35740000","2",1985-05-01,"1","1","89.1412","5.6614","13.7146","13","31","1","1","1","0","0",8.5258,9.2496,10.0058,9.6237,7.834,7.174,18.8416,25.6889,20.5167,11.4075,9.6237,12.9099,89.1412,20.5167,9.6237,14.0454,10.3961,9.6237,13.8141,12.2536,11.2011,9.6237,14.0454,10.0058,8.5258,7.5,7.5,7.174,6.8558,6.243,5.6614,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35740000","2",1985-06-01,"1","1","28.0039","4.1022","7.7577","14","11","1","1","1",NA,"0",5.9483,5.9483,5.3839,4.9821,5.9483,4.9821,5.1144,4.9821,5.1144,5.1144,4.1022,7.174,15.7233,28.0039,7.174,8.5258,7.174,16.7286,11.6159,8.5258,6.5455,7.834,7.834,7.5,5.66,5.66,4.3454,4.3454,4.3454,10.3961,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-14
"35740000","2",1985-07-01,"1","1","24.4148","2.7836","7.6438","15","31","1","1","1",NA,"0",10.5942,7.174,5.3839,5.1144,11.4075,13.1328,9.6237,8.7037,7.336,6.243,5.3839,6.8558,7.834,11.6159,24.4148,14.2788,8.7037,6.5455,7.5,6.6997,5.9483,5.9483,5.9483,5.9483,4.5951,4.3454,4.3454,4.1022,4.1022,4.3454,2.7836,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35740000","2",1985-08-01,"1","1","3.8657","2.398","2.6443","8","19","1","1","1",NA,"0",2.7836,2.4919,2.4919,2.4919,2.4919,2.4919,2.4919,3.8657,3.8657,3.8657,2.7836,2.7836,2.7836,2.4919,2.4919,2.4919,2.4919,2.4919,2.398,2.398,2.398,2.398,2.4919,2.4919,2.4919,2.398,2.398,2.4919,2.4919,2.4919,2.4919,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35740000","2",1985-09-01,"1","1","2.4919","1.5542","1.957","11","29","1","2","2",NA,"0",2.3059,2.1268,2.1268,1.871,1.871,1.871,1.871,1.871,1.871,1.7892,2.4919,2.4919,2.4919,2.4919,2.4919,2.4919,1.7091,1.7091,1.7091,1.7091,1.7091,1.7091,1.7892,1.7091,1.871,1.871,1.7091,1.871,1.5542,1.5542,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1",NA,2017-11-14
"35740000","2",1985-10-01,"1","1","1.4794","1.1315","1.2304","1","16","1","1","1",NA,"0",1.4794,1.4794,1.4794,1.4794,1.3349,1.2654,1.2654,1.2654,1.2654,1.2654,1.2654,1.2654,1.2654,1.2654,1.2654,1.1315,1.1315,1.1315,1.1315,1.1315,1.1315,1.1315,1.2654,1.1315,1.1315,1.1315,1.1315,1.1315,1.1315,1.1315,1.1315,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
