"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"36130000","2",1984-03-01,"1","1","53.2428","0","9.3817","30","1","1","1","1",NA,"0",0,0,8.0652,4.5769,3.0987,4.0552,16.3292,7.8355,4.5769,2.3919,2.3919,3.0987,2.0081,1.3334,1.2332,13.284,11.595,24.4004,16.3292,13.284,7.6088,5.7059,3.8877,22.8915,20.7107,9.0142,8.0652,7.1645,5.7059,53.2428,6.9469,"4","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36130000","2",1984-04-01,"1","1","231.892","4.5769","74.984","19","1","2","2","2",NA,"0",4.5769,10.5273,9.7574,11.8692,94.1696,47.3934,30.4459,26.3479,14.4678,9.7574,8.0652,27.549,11.3236,7.8355,5.905,136.918,202.799,220.919,231.892,204.423,158.562,172.099,219.248,117.788,71.3753,59.4003,51.6168,33.9172,27.1459,21.4266,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","1","1","1","1","1","1","1","1",NA,2017-11-13
"36130000","2",1984-05-01,"1","1","16.6494","2.0081","6.1783","1","31","1","1","1",NA,"0",16.6494,14.1675,13.284,10.7898,7.8355,7.6088,8.7725,8.5337,6.9469,5.905,4.5769,4.0552,3.7234,10.0111,13.8701,8.5337,5.317,4.0552,3.4045,3.25,3.0987,3.5623,3.4045,3.0987,2.9507,2.6647,2.6647,2.3919,2.2606,2.1327,2.0081,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36130000","2",1984-06-01,"1","1","1.887","0.9543","1.459","1","29","1","1","1",NA,"0",1.887,1.887,1.887,1.887,1.7693,1.7693,1.7693,1.5444,1.5444,1.5444,1.5444,1.5444,1.5444,1.4371,1.4371,1.4371,1.4371,1.4371,1.3334,1.3334,1.3334,1.3334,1.3334,1.3334,1.2332,1.2332,1.0436,1.0436,0.9543,0.9543,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36130000","2",1984-07-01,"1","1","0.9543","0.1776","0.4818","1","27","1","1","1",NA,"0",0.9543,0.8685,0.8685,0.8685,0.8685,0.8685,0.8685,0.7865,0.6336,0.6336,0.5629,0.4959,0.4329,0.3737,0.3737,0.3737,0.3737,0.3737,0.3737,0.3737,0.3737,0.3186,0.3186,0.2675,0.2205,0.2205,0.1776,0.1776,0.1776,0.1776,0.1776,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36130000","2",1984-08-01,"1","1","0.139","0","0.0498","1","20","1","1","1",NA,"0",0.139,0.1048,0.1048,0.1048,0.1048,0.139,0.139,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.0498,0.0294,0.014,0.014,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-13
"36130000","2",1984-09-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-13
"36130000","2",1984-10-01,"1","1","22.1535","0","0.9116","11","1","2","2","2",NA,"0",0,0,0,0,0,0,0,0,0,0,22.1535,2.5266,1.2332,0.7082,0.4959,0.3737,0.2205,0.1776,0.1048,0.075,0.0498,0.0498,0.0294,0.014,0.014,0.014,0.0039,0.0039,0.0039,0.0039,0.0039,"4","4","4","4","4","4","4","4","4","4","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36130000","2",1984-11-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-13
"36130000","2",1984-12-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-13
