"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"35880000","2",1969-05-01,"1","1","29.2",NA,NA,"5",NA,"1","0","0",NA,"0",NA,NA,14.8,18.5,29.2,23.1,13.9,16.6,12.6,11.2,10.5,10.5,21,14.8,10.8,12.3,14.3,11.6,10.5,10.5,11.2,11.6,14.8,10.1,9.76,8.5,9.4,8.5,7.3,7,7,"0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35880000","2",1969-06-01,"1","1","95.3","4.79","14.8","29","24","1","1","1",NA,"0",9.1,10.1,7.6,6.4,6.17,5.48,5.25,7.3,13,14.8,19.5,15.2,10.8,9.4,9.76,20,13.5,9.1,7.3,6.4,5.71,5.71,5.48,4.79,5.71,6.17,6.17,63.1,95.3,39,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35880000","2",1969-07-01,"1","1","146","8.2","33.2","21","31","1","1","1",NA,"0",26.7,22,24.3,67.3,79.9,124,65.5,46.2,32,24.9,18.5,14.8,18,22,17.5,13.5,11.9,10.8,13.5,11.9,146,70,39,24.9,18.5,14.4,12.6,10.8,9.76,8.8,8.2,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35880000","2",1969-08-01,"1","1","22.5","2.1","6.73","6","31","1","1","1",NA,"0",7.3,7.3,7.6,6.4,7,22.5,17,12.3,9.4,8.2,6.7,7,6.7,7.9,6.4,5.94,5.48,5.25,5.02,4.56,4.56,4.56,4.33,4.33,4.33,4.33,3.7,3.7,3.7,2.9,2.1,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35880000","2",1969-09-01,"1","1","3.9","1.58","2.71","1","24","1","1","1",NA,"0",3.9,3.7,3.3,3.9,2.1,3.3,3.1,3.5,3.3,2.7,2.9,2.9,2.7,2.7,2.5,2.5,2.5,2.5,2.3,2.3,2.1,2.1,2.1,1.58,2.1,3.1,2.5,2.3,2.3,2.5,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35880000","2",1969-10-01,"1","1","2.3","1.07","1.47","1","11","1","1","1",NA,"0",2.3,1.58,1.58,1.45,2.1,2.1,1.71,1.58,1.2,1.2,1.07,1.33,1.84,1.33,1.33,1.2,1.07,1.07,1.33,1.33,1.58,1.45,1.33,1.45,1.71,1.84,1.45,1.33,1.33,1.07,1.2,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35880000","2",1969-11-01,"1","1","2.5","0.355","0.964","26","24","1","1","1",NA,"0",1.07,1.07,1.2,1.2,1.07,1.07,1.07,1.07,1.07,1.07,1.2,1.2,0.939,0.939,0.939,0.939,0.745,0.55,0.55,0.939,0.745,0.55,0.485,0.355,0.355,2.5,1.2,1.33,0.55,0.939,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35880000","2",1969-12-01,"1","1","1.07","0.112","0.617","6","24","1","1","1",NA,"0",0.939,0.485,0.81,0.81,0.745,1.07,0.81,0.81,0.745,0.745,0.745,0.745,0.68,0.68,0.68,0.68,0.68,0.615,0.55,0.355,0.29,0.16,0.144,0.112,0.615,0.42,0.42,0.68,0.615,0.745,0.55,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35880000","2",1970-01-01,"1","1","7","0.16","1.9","20","19","1","1","1","2.8","1",0.55,0.55,0.68,0.615,0.615,0.55,0.55,0.55,0.55,0.55,0.615,0.68,0.68,0.615,0.68,0.55,0.42,0.225,0.16,7,4.33,5.48,4.33,6.17,5.25,4.1,2.9,2.9,2.3,1.97,1.84,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35880000","2",1970-02-01,"1","1","3.1","0.68","1.37","5","24","1","1","1","2.8","1",1.84,2.1,2.5,2.3,3.1,2.7,2.1,1.84,1.71,1.45,1.33,1.2,1.07,1.07,0.939,0.939,1.07,0.81,0.939,1.07,0.81,0.745,0.745,0.68,0.745,0.745,0.68,1.07,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0",NA,NA
"35880000","2",1970-03-01,"1","1","42.5","1.2","11.2","22","1","1","1","1","2.8","1",1.2,1.71,8.8,7.6,5.02,3.5,3.3,10.1,7.6,5.48,3.5,7.6,8.8,8.2,7.3,8.2,7.6,8.8,11.6,17,34.8,42.5,32.7,30.6,20,12.3,9.1,7,5.71,4.79,4.33,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35880000","2",1970-04-01,"1","1","53","1.84","12.2","26","13","1","1","1","2.8","1",5.94,23.1,13.9,9.1,6.17,4.79,3.9,3.3,3.1,2.9,2.3,1.97,1.84,1.97,1.97,2.9,2.9,2.3,1.84,4.1,22.5,10.8,16.1,11.6,9.76,53,39,53,24.9,23.7,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35880000","2",1970-05-01,"1","1","15.7","0.29","3.65","1","30","1","1","1","2.8","1",15.7,10.5,8.5,6.4,7.9,7.6,6.4,4.79,4.1,3.7,3.5,3.3,2.7,2.9,2.5,2.5,2.1,2.5,2.1,1.97,1.84,1.71,1.97,1.07,1.07,0.939,0.615,0.42,0.485,0.29,1.2,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35880000","2",1970-06-01,"1","1","5.25","0.225","2.01","17","14","1","1","1","2.8","1",1.84,3.1,2.1,3.1,3.7,2.7,2.1,2.9,2.3,1.71,1.71,0.81,0.485,0.225,1.07,3.1,5.25,3.1,2.5,1.71,1.97,1.71,1.33,0.939,1.07,1.07,1.2,1.07,1.2,3.3,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35880000","2",1970-07-01,"1","1","2.3","0.112","0.904","8","19","1","1","1","2.8","1",2.1,1.2,0.615,0.485,1.45,0.81,1.2,2.3,1.71,0.939,0.81,0.615,0.485,0.55,0.29,0.16,0.16,0.128,0.112,0.128,0.128,1.84,1.58,1.33,1.33,1.07,0.939,1.2,0.939,0.745,0.68,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35880000","2",1970-08-01,"1","1","1.07","0","0.456","3","27","1","1","1","2.8","1",0.615,0.68,1.07,1.07,0.939,0.42,0.55,0.68,0.745,0.81,0.81,0.939,0.68,0.29,0.144,0.128,0.42,0.81,1.07,0.55,0.225,0.128,0.112,0.096,0.08,0.08,0,0,0,0,0,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35880000","2",1970-09-01,"1","1","0","0","0","1","1","1","1","1","2.8","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35880000","2",1970-10-01,"1","1","0","0","0","1","1","1","1","1","2.8","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35880000","2",1970-11-01,"1","1","0","0","0","1","1","1","1","1","2.8","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35880000","2",1970-12-01,"1","1","0","0","0","1","1","1","1","1","2.8","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35880000","2",1971-01-01,"1","1","0.939","0","0.127","31","1","1","1","1","7.94","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.55,0.55,0.68,0.68,0.939,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35880000","2",1971-02-01,"1","1","4.79","0.42","0.938","28","11","1","1","1","7.94","1",1.07,1.2,0.939,0.745,0.68,0.81,0.745,0.55,0.745,0.745,0.42,0.68,0.615,0.68,1.2,0.939,0.939,1.2,0.939,0.68,0.615,0.615,0.81,0.615,0.485,0.615,1.2,4.79,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0",NA,NA
"35880000","2",1971-03-01,"1","1","28.5","1.33","7.71","22","15","1","1","1","7.94","1",8.8,6.17,5.94,13.5,19.5,10.8,6.7,4.56,3.5,2.5,2.1,1.84,1.58,1.58,1.33,1.84,2.1,2.9,3.9,7.3,20.5,28.5,23.7,10.8,9.4,6.4,5.94,4.79,5.71,5.71,9.1,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35880000","2",1971-04-01,"1","1","98.2","5.25","22.3","15","10","1","1","1","7.94","1",7.9,24.3,20.5,16.1,8.2,7.3,5.94,7,7.3,5.25,22.5,30.6,34.1,63.9,98.2,53.7,40.4,20.5,14.4,16.6,10.1,13.9,12.3,14.4,9.4,15.2,32.7,17,21.5,18.5,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35880000","2",1971-05-01,"1","1","97.2","5.25","22.8","12","26","1","1","1","7.94","1",11.9,34.1,37.6,27.9,16.6,11.6,16.1,11.6,8.2,12.3,20.5,97.2,59.1,27.9,17,13.9,11.6,16.6,14.8,9.76,7.9,6.7,5.94,5.71,6.4,5.25,28.5,54.5,33.4,22.5,53,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35880000","2",1971-06-01,"1","1","195","5.71","29.3","4","30","1","1","1","7.94","1",38.3,36.9,139,195,65.5,59.1,56.7,40.4,24.9,18,15.2,16.1,14.4,12.3,9.76,8.5,7.9,7,6.4,6.4,7.3,28.5,14.8,10.8,8.2,7,6.4,6.17,5.94,5.71,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35880000","2",1971-07-01,"1","1","11.9","3.1","5.93","19","16","1","1","1","7.94","1",5.25,5.02,5.02,5.71,6.7,11.2,10.5,7.9,6.7,5.71,5.25,4.56,4.1,3.9,3.7,3.1,4.33,8.2,11.9,9.76,7.3,5.94,5.25,4.79,4.56,5.25,4.79,4.1,3.9,4.1,5.25,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35880000","2",1971-08-01,"1","1","7.9","1.58","3.03","1","21","1","1","1","7.94","1",7.9,5.94,5.02,4.1,3.7,3.1,4.33,5.94,3.9,3.7,4.56,4.1,3.5,3.1,2.5,2.5,2.5,2.1,1.97,1.84,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.84,1.71,1.58,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35880000","2",1971-09-01,"1","1","1.33","0.485","0.786","1","6","1","1","1","7.94","1",1.33,1.2,1.2,0.81,0.615,0.485,0.55,0.68,1.07,1.2,0.81,0.745,0.745,0.745,0.745,0.745,0.55,0.615,0.68,1.07,1.2,0.81,0.68,0.68,0.68,0.68,0.615,0.55,0.55,0.55,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
