"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"34730000","2",1962-02-01,"1","1",NA,NA,NA,NA,NA,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9321,4.3802,3.9321,3.6493,3.6493,4.5361,4.5361,4.5361,4.8577,4.5361,12.5875,11.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,2017-01-05
"34730000","2",1962-03-01,"1","1","12.9192","3.9321","7.1764","23","9","1","1","1","0","0",8.4184,6.4721,6.9,5.7202,6.0892,4.8577,4.2276,4.0782,3.9321,4.2276,7.8945,5.0234,5.0234,9.2376,9.2376,6.0892,6.0892,7.6393,8.4184,7.6393,7.6393,8.96,12.9192,10.6925,7.6393,7.142,7.6393,5.5409,6.2789,10.997,9.8061,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-01-05
"34730000","2",1962-04-01,"1","1","11.6196","3.2486","5.4748","7","22","1","1","1","0","0",7.142,5.3651,8.4184,9.2376,8.687,8.1542,11.6196,5.7202,5.903,6.2789,5.0234,4.5361,3.7891,3.7891,3.5126,3.5126,5.903,4.0782,3.5126,3.5126,3.3791,3.2486,3.2486,4.3802,7.6393,5.3651,6.6688,5.7202,3.6493,3.2486,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-01-05
"34730000","2",1962-05-01,"1","1","9.2376","1.9545","3.4044","6","27","1","1","1","0","0",3.0094,3.2486,3.0094,3.5126,4.8577,9.2376,9.2376,4.8577,3.5126,3.2486,3.0094,2.6925,2.5918,2.4936,2.4936,2.3979,2.2135,2.4936,3.9321,3.0094,2.9012,3.1201,2.5918,2.3045,2.1249,2.0385,1.9545,3.1201,4.3802,3.2486,2.6925,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-01-05
"34730000","2",1962-06-01,"1","1","4.6952","1.2338","1.9059","13","30","1","1","1","0","0",2.3979,2.2135,2.0385,2.1249,1.9545,1.7931,1.9545,1.9545,1.7931,1.7158,1.8727,2.3979,4.6952,2.9012,2.3979,1.9545,1.7931,1.7158,1.6406,1.5676,1.4967,1.4967,1.4967,1.4967,1.4279,1.4279,1.5676,1.3611,1.2964,1.2338,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-01-05
"34730000","2",1962-07-01,"1","1","1.2338","0.7554","0.9886","2","29","1","1","1","0","0",1.1731,1.2338,1.1731,1.1143,1.1143,1.1143,1.0575,1.0575,1.0575,1.0575,1.0575,1.0026,1.0026,0.9495,0.9495,0.8983,1.0575,1.0575,1.0026,1.0026,1.0026,0.9495,0.9495,0.9495,0.8983,0.8489,0.8489,0.8013,0.7554,0.7554,0.7554,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-01-05
"34730000","2",1962-08-01,"1","1","0.8013","0.5513","0.6361","1","24","1","1","1","0","0",0.8013,0.8013,0.7554,0.7554,0.7554,0.7113,0.7113,0.7113,0.6688,0.6688,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.5889,0.5889,0.5889,0.5889,0.5889,0.5513,0.5513,0.5513,0.5513,0.5513,0.5513,0.5513,0.5513,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-01-05
"34730000","2",1962-09-01,"1","1","0.5513","0.3051","0.4152","1","27","1","1","1","0","0",0.5513,0.5153,0.5153,0.5153,0.5153,0.5153,0.5153,0.4809,0.4809,0.4809,0.448,0.448,0.4166,0.4166,0.4166,0.4166,0.4166,0.3866,0.3866,0.3581,0.3581,0.3581,0.3309,0.3309,0.3309,0.3309,0.3051,0.3051,0.3051,0.3051,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-01-05
"34730000","2",1962-10-01,"1","1",NA,NA,NA,NA,NA,"0","0","0","0","0",0.2806,0.2806,0.2806,0.2806,0.2806,0.2575,0.2575,0.2575,0.2575,0.2575,0.2356,0.2356,0.2149,0.2149,0.1954,0.1954,0.1772,0.1772,0.1772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","4","4","4","4","4","4","4","4","4","4","4",2017-01-05
"34730000","2",1962-11-01,"1","1",NA,NA,NA,NA,NA,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8013,0.7554,0.7554,0.7113,0.6688,0.628,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","1","1","1","1","1",NA,2017-01-05
