"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"35279000","2",1984-01-01,"1","1",NA,NA,"0",NA,NA,"0","0","1","0.935","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"35279000","2",1984-02-01,"1","1","1.62","0","0.077","23","1","2","2","2","0.935","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0.175,0.155,0.136,0.081,0.05,0.03,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","0",NA,NA
"35279000","2",1984-03-01,"1","1","48.1","0","2.5","26",NA,"1","1","2","0.935","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214,0.109,3.56,0.273,1.26,0.292,0.194,0.407,0.234,0.292,0.194,NA,NA,NA,48.1,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","0","0","0","0","0",NA
"35279000","2",1984-04-01,"1","1","101","0.273","7.8","19",NA,"1","1","2","0.935","2",NA,NA,101,NA,NA,NA,NA,NA,NA,0.502,0.312,0.292,0.273,4.15,7.91,1.26,NA,NA,99.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0",NA,NA
"35279000","2",1984-05-01,"1","1","13","0.075","0.789","3","29","2","2","2","0.935","2",0.25,0.2,13,4,2,1,0.5,0.3,0.25,0.2,0.17,0.155,0.136,0.109,0.102,0.088,0.234,0.136,0.175,0.214,0.175,0.175,0.194,0.109,0.095,0.088,0.095,0.081,0.075,0.075,0.075,"2","2","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35279000","2",1984-06-01,"1","1","0.109","0","0.049","5","23","1","1","1","0.935","2",0.068,0.068,0.061,0.061,0.109,0.095,0.081,0.102,0.095,0.075,0.061,0.068,0.061,0.061,0.054,0.054,0.054,0.054,0.054,0.054,0.047,0.047,0,0,0,0,0,0,0,0,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35279000","2",1984-07-01,"1","1","0","0","0","1","1","1","1","1","0.935","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35279000","2",1984-08-01,"1","1","0","0","0","1","1","1","1","1","0.935","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35279000","2",1984-09-01,"1","1","0","0","0","1","1","1","1","1","0.935","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35279000","2",1984-10-01,"1","1","0","0","0","1","1","1","1","1","0.935","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35279000","2",1984-11-01,"1","1","0","0","0","1","1","1","1","1","0.935","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35279000","2",1984-12-01,"1","1","0","0","0","1","1","1","1","1","0.935","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35279000","2",1985-01-01,"1","1","0.253","0","0.043","19","1","1","1","1","1.37","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253,0.102,0.081,0.194,0.088,0.068,0.068,0.054,0.042,0.068,0.054,0.088,0.175,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
