"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"34750000","2",1964-02-01,"1","1",NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,NA,NA,NA,13.7412,16.5477,15.3038,11.9372,15.7115,37.5086,253.52,215.598,171.258,264.056,452.754,661.357,583.616,363.63,159.812,80.7582,58.3892,49.3237,48.4707,52.8322,90.5373,102.412,140.523,167.225,187.104,NA,NA,NA,NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,NA,2017-01-05
"34750000","2",1964-03-01,"1","1","770.602","52.8322","279.968","6","22","2","2","2",NA,"0",182.518,269.391,493.661,615.563,715.194,770.602,544.078,515.617,433.746,363.63,369.712,302.312,313.632,416.635,507.592,426.229,307.951,149.093,97.0184,71.6858,58.3892,52.8322,58.3892,61.3029,60.3215,68.461,81.9415,80.7582,110.859,93.0952,86.7858,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",2017-01-05
"34750000","2",1964-04-01,"1","1","1503.67","122.8","502.031","14","1","2","2","2",NA,"0",122.8,189.415,201.143,322.233,450.839,519.648,643.766,717.471,577.304,535.887,385.096,550.251,910.82,1503.67,1355.97,1145.41,898.387,784.696,542.026,330.93,175.726,194.071,171.258,152.613,137.186,180.242,167.225,291.165,441.312,462.373,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,2017-01-05
"34750000","2",1964-05-01,"1","1","966.287","43.5513","213.363","7","25","2","2","2",NA,"0",429.981,407.066,203.524,445.114,719.751,866.363,966.287,676.895,360.605,180.242,112.309,90.5373,84.3413,77.2745,72.782,66.3639,76.1352,76.1352,57.4381,52.8322,48.4707,45.1536,46.7932,50.1863,43.5513,49.3237,55.566,66.3639,56.4971,51.9405,78.4248,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",2017-01-05
"34750000","2",1964-06-01,"1","1","103.79","11.5959","25.9365","1","30","2","2","2",NA,"0",103.79,61.3029,50.1863,41.9861,36.0876,32.6877,29.501,27.6887,25.386,24.8302,23.7424,22.1688,22.1688,23.7424,21.6596,20.1773,18.3047,17.412,16.9763,18.3047,19.2264,16.5477,14.903,14.1217,13.3673,13.3673,12.6393,12.285,11.9372,11.5959,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,2017-01-05
"34750000","2",1964-07-01,"1","1","11.2608","6.0287","8.3189","1","31","2","2","2",NA,"0",11.2608,11.2608,10.932,10.6095,10.2932,10.2932,9.983,9.6788,9.3807,9.3807,9.0886,8.8023,8.8023,8.522,8.2474,7.9786,7.9786,7.7155,7.458,7.2061,6.9598,6.9598,6.7189,6.4835,6.4835,6.4835,6.7189,7.2061,6.7189,6.2534,6.0287,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",2017-01-05
"34750000","2",1964-08-01,"1","1","9.6788","4.5996","5.7547","7","20","2","2","2",NA,"0",5.8092,5.5949,5.5949,6.4835,6.0287,5.8092,9.6788,8.522,6.9598,6.2534,6.0287,5.8092,4.7887,5.1817,5.1817,4.9827,4.7887,4.7887,4.7887,4.5996,5.5949,5.8092,5.5949,5.5949,5.5949,5.3858,5.3858,5.3858,5.1817,5.3858,5.8092,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",2017-01-05
"34750000","2",1964-09-01,"1","1","6.0287","5.1817","5.6271","1","27","2","2","2",NA,"0",6.0287,6.0287,5.8092,5.8092,5.8092,5.8092,6.0287,6.0287,5.8092,5.8092,5.5949,5.8092,5.8092,5.8092,5.5949,5.5949,5.5949,5.5949,5.3858,5.5949,5.5949,5.3858,5.3858,5.5949,5.3858,5.3858,5.1817,5.1817,5.1817,5.1817,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,2017-01-05
"34750000","2",1964-10-01,"1","1","5.1817","3.4091","4.3634","1","19","2","2","2",NA,"0",5.1817,4.9827,4.9827,4.7887,4.5996,4.4154,4.4154,4.5996,4.5996,4.5996,4.5996,4.5996,4.5996,4.5996,4.4154,4.4154,4.236,3.5653,3.4091,3.4091,4.236,4.236,4.4154,4.236,4.236,4.236,4.236,4.236,4.0613,4.0613,4.0613,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",2017-01-05
"34750000","2",1964-11-01,"1","1","4.0613","2.5637","3.2072","1","28","2","2","2",NA,"0",4.0613,4.0613,4.0613,3.8914,3.8914,3.8914,3.726,3.5653,3.4091,3.2574,3.2574,3.2574,3.4091,3.4091,3.2574,3.11,3.11,3.11,2.9671,2.8284,2.8284,2.694,2.694,2.694,2.694,2.694,2.694,2.5637,2.5637,2.5637,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,2017-01-05
"34750000","2",1964-12-01,"1","1","2.4376","2.0833","2.3245","1","14","1","1","1",NA,"0",2.4376,2.4376,2.4376,2.4376,2.3155,2.3155,2.3155,2.3155,2.3155,2.3155,2.1974,2.1974,2.1974,2.0833,2.0833,2.3155,2.3155,2.3155,2.3155,2.3155,2.3155,2.3155,2.3155,2.3155,2.3155,2.4376,2.4376,2.4376,2.4376,2.4376,2.3155,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-01-05
"34750000","2",1965-01-01,"1","1","24.2824","2.0833","4.5848","28","5","2","1","2",NA,"0",2.3155,2.3155,2.1974,2.1974,2.0833,2.0833,2.3155,2.5637,2.5637,2.694,2.5637,2.5637,2.8284,3.5653,3.726,4.4154,4.7887,4.236,3.8914,3.5653,3.4091,3.4091,3.2574,3.11,3.11,6.9598,11.5959,24.2824,10.2932,8.2474,4.9827,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1",2017-01-05
"34750000","2",1965-02-01,"1","1","32.0335","2.9671","9.8684","8","24","1","1","2",NA,"0",5.3858,6.0287,7.2061,4.9827,18.7619,20.1773,22.6856,32.0335,17.412,13.7412,11.5959,7.458,5.3858,4.5996,3.8914,3.4091,12.285,14.1217,6.7189,4.9827,3.8914,3.4091,3.4091,2.9671,18.7619,8.2474,7.9786,4.7887,NA,NA,NA,"1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,2017-01-05
"34750000","2",1965-03-01,"1","1","330.93","2.1974","49.5315","31","10","1","1","2",NA,"0",9.0886,4.0613,3.5653,3.8914,3.5653,2.9671,3.4091,2.694,2.4376,2.1974,15.3038,7.9786,7.458,5.8092,5.3858,3.5653,19.6982,34.7017,30.1216,29.501,58.3892,70.6003,59.3503,60.3215,69.5254,67.4072,58.3892,137.186,180.242,245.734,330.93,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1",2017-01-05
"34750000","2",1965-04-01,"1","1","1025.59","235.508","569.305","23","13","1","1","2",NA,"0",479.878,560.598,626.354,645.955,694.819,801.26,873.714,587.839,429.981,313.632,305.126,258.766,235.508,296.717,240.599,354.587,419.845,583.616,717.471,681.36,796.514,900.869,1025.59,953.573,925.825,581.509,447.019,479.878,378.911,481.838,NA,"1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-01-05
"34750000","2",1965-05-01,"1","1","527.744","30.1216","162.766","3","25","1","1","2",NA,"0",491.683,509.594,527.744,521.667,503.597,431.862,397.589,220.507,133.9,113.771,91.8105,94.3914,113.771,110.859,99.692,77.2745,61.3029,51.0586,50.1863,47.6272,38.9651,35.3903,36.0876,36.7937,30.1216,41.2172,38.9651,38.2324,34.7017,32.6877,32.6877,"2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-01-05
"34750000","2",1965-06-01,"1","1","42.7641","14.903","28.8066","16","30","2","2","2",NA,"0",34.0218,34.0218,30.7505,28.2846,31.3878,38.9651,34.7017,30.1216,29.501,29.501,27.101,25.386,23.7424,23.2101,37.5086,42.7641,39.7068,35.3903,33.3505,34.0218,36.7937,31.3878,27.101,23.7424,20.1773,17.8548,16.5477,16.1261,16.1261,14.903,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,2017-01-05
"34750000","2",1965-07-01,"1","1","13.7412","6.2534","8.9984","1","29","2","1","2",NA,"0",13.7412,13.3673,13,12.285,11.2608,10.932,10.2932,9.983,10.6095,9.983,9.983,9.6788,9.6788,9.0886,8.8023,8.2474,7.9786,7.9786,7.7155,7.458,7.2061,7.2061,7.458,7.458,7.2061,6.7189,6.7189,6.4835,6.2534,6.7189,7.458,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1",2017-01-05
"34750000","2",1965-08-01,"1","1","7.458","5.1817","6.2706","12","31","1","1","1",NA,"0",7.2061,6.9598,6.9598,6.9598,6.7189,6.4835,6.4835,6.4835,6.4835,6.2534,6.2534,7.458,7.2061,6.9598,6.4835,6.4835,6.2534,6.0287,5.8092,5.8092,5.8092,5.5949,5.5949,5.8092,5.5949,5.5949,5.5949,6.0287,6.2534,5.5949,5.1817,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-01-05
"34750000","2",1965-09-01,"1","1","5.1817","3.8914","4.4445","1","26","1","1","1",NA,"0",5.1817,5.1817,5.1817,4.9827,4.9827,4.9827,4.9827,4.7887,4.5996,4.5996,4.4154,4.4154,4.4154,4.4154,4.236,4.236,4.0613,4.236,4.0613,4.0613,4.236,4.0613,4.236,4.0613,4.0613,3.8914,4.0613,4.236,4.236,4.236,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-01-05
"34750000","2",1965-10-01,"1","1","6.0287","3.2574","4.2508","9","26","1","1","1",NA,"0",4.236,4.236,4.236,4.236,5.5949,4.9827,4.7887,4.7887,6.0287,5.5949,5.3858,4.9827,4.7887,4.5996,4.4154,4.4154,4.236,4.0613,3.8914,3.8914,4.4154,3.726,3.726,3.5653,3.4091,3.2574,3.2574,3.2574,3.2574,3.2574,3.2574,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-01-05
"34750000","2",1965-11-01,"1","1","2.0833","1.5697","1.8023","1","31","1","1","1","0","0",2.0833,1.9731,1.9731,1.9731,1.8666,1.8666,1.8666,1.8666,1.8666,1.8666,1.8666,1.764,1.764,1.665,1.665,1.665,1.764,1.764,1.764,1.764,1.764,1.665,1.764,1.9731,1.8666,1.764,1.764,1.764,1.665,1.665,1.5697,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2018-08-01
"34750000","2",1965-12-01,"1","1","2.0833","1.5697","1.8023","1","31","1","1","1",NA,"0",2.0833,1.9731,1.9731,1.9731,1.8666,1.8666,1.8666,1.8666,1.8666,1.8666,1.8666,1.764,1.764,1.665,1.665,1.665,1.764,1.764,1.764,1.764,1.764,1.665,1.764,1.9731,1.8666,1.764,1.764,1.764,1.665,1.665,1.5697,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-01-05
"34750000","2",1966-01-01,"1","1","5.1817","1.3898","2.1069","24","16","1","1","1",NA,"0",1.478,1.478,1.478,1.478,1.478,1.478,1.478,1.478,1.478,1.478,1.478,1.478,1.478,1.478,1.478,1.3898,1.5697,2.0833,2.1974,2.5637,3.11,2.694,2.9671,5.1817,3.5653,2.9671,2.694,2.3155,2.3155,2.5637,2.9671,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-01-05
"34750000","2",1966-02-01,"1","1","483.801","3.11","95.6274","12","1","1","1","2",NA,"0",3.11,3.5653,3.4091,6.7189,4.7887,67.4072,57.4381,73.889,97.0184,157.992,477.921,483.801,385.096,210.734,90.5373,64.3085,54.6449,44.3478,51.9405,53.7336,69.5254,59.3503,42.7641,33.3505,24.8302,22.1688,20.1773,13,NA,NA,NA,"1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2",NA,NA,NA,2017-01-05
"34750000","2",1966-03-01,"1","1","36.7937","7.7155","15.5861","12","31","1","1","1",NA,"0",9.983,9.6788,10.6095,15.7115,11.9372,9.0886,8.522,7.9786,8.2474,8.2474,8.8023,36.7937,36.0876,23.2101,26.5213,21.6596,23.2101,23.7424,36.0876,24.8302,22.1688,14.903,12.6393,11.2608,9.983,9.983,9.0886,8.522,7.9786,7.9786,7.7155,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-01-05
"34750000","2",1966-04-01,"1","1","550.251","7.458","106.059","15","1","1","1","2",NA,"0",7.458,7.458,10.2932,9.3807,25.386,16.9763,13,13,38.9651,90.5373,125.908,269.391,322.233,394.451,550.251,511.598,230.463,135.537,94.3914,70.6003,54.6449,38.2324,28.2846,28.8887,22.6856,17.8548,14.509,13.7412,13,12.6393,NA,"1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-01-05
"34750000","2",1966-05-01,"1","1","12.285","5.8092","8.2951","1","25","1","1","1",NA,"0",12.285,12.285,10.932,10.2932,10.932,9.3807,8.8023,8.522,9.3807,9.0886,11.2608,9.6788,8.2474,7.7155,7.9786,8.522,7.9786,7.2061,7.2061,7.458,6.9598,6.9598,6.2534,6.0287,5.8092,6.0287,7.458,7.7155,6.7189,6.2534,5.8092,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-01-05
"34750000","2",1966-06-01,"1","1","8.8023","4.236","5.8792","8","25","1","1","1",NA,"0",5.5949,5.5949,6.9598,6.9598,6.9598,7.458,6.9598,8.8023,7.7155,7.2061,8.2474,8.2474,7.2061,6.4835,6.0287,5.3858,5.3858,5.3858,5.1817,4.9827,4.7887,4.4154,4.4154,4.4154,4.236,4.4154,4.236,4.236,4.236,4.236,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-01-05
"34750000","2",1966-07-01,"1","1","4.0613","3.11","3.7066","1","29","1","1","1",NA,"0",4.0613,3.8914,3.726,3.726,3.5653,3.5653,3.4091,3.4091,3.4091,3.8914,3.8914,4.0613,3.8914,3.726,3.726,3.726,4.0613,4.0613,4.0613,3.8914,3.726,3.726,3.726,3.8914,3.8914,3.726,3.726,3.4091,3.11,3.11,3.11,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-01-05
"34750000","2",1966-08-01,"1","1","2.9671","1.3898","2.1696","1","30","1","1","1",NA,"0",2.9671,2.9671,2.8284,2.8284,2.8284,2.8284,2.694,2.694,2.5637,2.5637,2.4376,2.5637,2.5637,2.4376,2.4376,2.5637,2.0833,1.8666,1.8666,1.764,1.5697,1.5697,1.5697,1.5697,1.5697,1.5697,1.5697,1.665,1.478,1.3898,1.3898,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-01-05
"34750000","2",1966-09-01,"1","1","1.3898","0.4895","0.7434","1","26","1","1","1",NA,"0",1.3898,1.2236,1.1456,1.0709,0.9993,0.9993,0.9309,0.8656,0.8656,0.8656,0.8034,0.8034,0.6876,0.6876,0.6876,0.634,0.5832,0.5832,0.5832,0.5832,0.5832,0.535,0.535,0.535,0.535,0.4895,0.4895,0.4895,0.535,0.5832,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-01-05
"34750000","2",1966-10-01,"1","1","4.5996","0.0076","0.4981","25","22","2","2","2","0","0",0.091,0.0768,0.0768,0.0768,0.0641,0.0529,0.0529,0.043,0.043,0.0343,0.0269,0.0269,0.0206,0.0206,0.0206,0.0206,0.0153,0.0153,0.0153,0.011,0.011,0.0076,0.0076,2.0833,4.5996,2.4376,1.665,1.3898,1.0709,0.8656,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1",NA,2018-08-01
