"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"35210000","2",1973-01-01,"1","1",NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4726,1.7164,0.4806,0.2684,0.225,0.225,0.1855,0.1855,0.1499,0.1181,0.1181,0.1181,0.1181,0.0901,0.0901,0.0901,0.0659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35210000","2",1973-02-01,"1","1","3.7276","0.0018","0.3238","26","6","2","2","2","0","0",0.0659,0.0456,0.0456,0.029,0.0162,0.0018,0.0071,0.0162,0.029,0.0456,0.029,0.0162,0.0071,0.029,0.0659,0.1181,0.1855,0.2684,0.3667,0.4806,0.6806,0.4217,0.225,0.1181,0.029,3.7276,1.3866,0.6101,NA,NA,NA,"1","1","1","1","1","1","2","2","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1",NA,NA,NA,2017-11-14
"35210000","2",1973-03-01,"1","1","30.9384","0.1855","6.2555","10","3","1","1","1","0","0",0.2684,0.225,0.1855,0.1855,0.1855,0.1855,0.2684,0.6101,11.5767,30.9384,25.4435,9.2706,4.4458,2.2115,1.7164,1.0924,0.7551,0.6806,0.6806,0.6806,0.5434,2.6245,6.0746,6.522,2.2115,9.0006,9.5447,27.592,14.1421,17.5371,6.522,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35210000","2",1973-04-01,"1","1","249.538","0.9159","66.2105","11","7","1","1","1","0","0",3.5581,1.6025,1.2846,1.0022,1.6025,1.1865,0.9159,9.8229,120.893,105.901,249.538,138.653,110.505,219.823,86.5539,63.4039,49.0931,75.0343,61.1686,29.8067,21.8465,24.9168,26.5094,30.9384,25.4435,159.462,139.667,130.645,45.0775,50.4607,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35210000","2",1973-05-01,"1","1","41.1945","2.4829","12.9585","1","25","1","1","1","0","0",41.1945,35.0253,32.6661,22.3474,23.8762,16.2367,12.5083,10.6815,11.8831,16.2367,19.4076,17.9979,11.5767,10.9759,7.9608,6.522,5.4337,4.6354,3.9012,3.5581,3.2309,2.9198,2.7701,3.0733,2.4829,2.9198,30.3705,17.9979,10.3913,6.2963,4.6354,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35210000","2",1973-06-01,"1","1","25.4435","1.4926","5.1827","5","30","1","1","1","0","0",4.0787,3.2309,2.9198,12.1937,25.4435,10.6815,7.2233,4.829,3.0733,3.0733,2.4829,2.7701,2.2115,2.2115,10.105,7.7109,4.6354,5.4337,4.4458,3.5581,2.3452,2.7701,2.7701,1.8342,1.8342,10.9759,4.829,2.4829,1.8342,1.4926,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35210000","2",1973-07-01,"1","1","1.2846","0.1499","0.474","1","29","1","1","1","0","0",1.2846,1.0924,0.9159,0.8336,0.7551,0.7551,0.6806,0.6101,0.6101,0.6101,0.5434,0.5434,0.4806,0.4806,0.4217,0.4217,0.3667,0.3667,0.3156,0.3156,0.2684,0.2684,0.225,0.225,0.225,0.1855,0.1855,0.1855,0.1499,0.1855,0.1855,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35210000","2",1973-08-01,"1","1",NA,NA,"0.46",NA,NA,"0","0","2","0","0",0.1855,0.1499,0.1181,0.1181,0.0901,0.0901,0.0901,0.0659,0.0456,0.0456,0.029,0.029,0.029,0.0162,0.0162,0.0162,0.0162,0.0162,0.0071,0.0071,0.0018,0.0018,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35210000","2",1973-09-01,"1","1",NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-14
"35210000","2",1973-10-01,"1","1",NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-14
"35210000","2",1973-11-01,"1","1",NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-14
"35210000","2",1973-12-01,"1","1",NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-14
"35210000","2",1974-01-01,"1","1",NA,NA,NA,NA,NA,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225,0.225,0.2684,0.1499,0.1499,0.3156,0.1855,0.1499,0.1499,0.1181,0.1181,0.2684,0.1855,0.1855,0.1499,0.1181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35210000","2",1974-02-01,"1","1","157.331","0.4806","11.3645","26","13","1","1","1","0","0",1.2846,3.2309,5.0265,5.0265,3.2309,6.0746,2.4829,3.2309,4.0787,1.8342,0.8336,0.8336,0.4806,0.8336,0.4806,0.8336,0.4806,0.8336,4.0787,3.2309,2.4829,1.2846,8.4726,3.2309,56.7909,157.331,30.3705,9.8229,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA
"35210000","2",1974-03-01,"1","1","181.367","6.0746","48.068","26","6","1","1","1","0","0",7.2233,14.481,11.2742,9.8229,7.2233,6.0746,6.0746,6.0746,28.6912,20.8577,12.8269,11.2742,7.2233,14.481,63.4039,61.9103,38.062,20.8577,16.2367,9.8229,126.71,119.934,58.2363,61.9103,106.816,181.367,159.462,122.82,52.5389,49.7751,76.6413,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35210000","2",1974-04-01,"1","1","445.322","32.0862","196.168","17","2","2","2","2","0","0",45.0775,32.0862,42.474,93.4161,89.96,145.809,175.79,321.538,224.675,197.335,121.855,95.1629,200.824,391.249,284.665,279.349,445.322,262.341,233.263,206.691,196.178,189.287,174.682,173.577,388.24,299.479,230.797,126.71,93.4161,123.788,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35210000","2",1974-05-01,"1","1","556.138","22.8527","105.649","2","27","1","1","1","0","0",349.947,556.138,255.909,228.34,120.893,103.176,75.0343,67.1972,94.288,93.4161,66.4318,62.6554,94.288,118.978,191.573,118.978,75.8362,53.2387,41.1945,53.9421,36.8357,28.1396,29.8067,24.9168,27.0487,25.4435,22.8527,27.0487,28.1396,41.8324,161.603,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35210000","2",1974-06-01,"1","1","75.8362","2.6245","14.4301","2","28","1","1","1","0","0",53.2387,75.8362,43.7683,28.6912,25.4435,36.2284,21.3499,17.9979,13.4764,11.8831,10.3913,9.2706,8.2147,7.7109,7.7109,6.2963,5.6434,4.829,5.857,4.6354,4.2603,4.2603,4.2603,4.0787,3.5581,3.0733,2.7701,2.6245,2.9198,2.6245,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
