"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"35170000","2",1971-01-01,"1","1","0.796","0","0.055","27","1","1","1","1","21.7","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796,0.28,0.224,0.196,0.196,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35170000","2",1971-02-01,"1","1","35.1","0.14","1.45","28","3","1","1","1","21.7","1",0.196,0.168,0.14,0.14,0.14,0.14,0.168,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.252,0.224,0.224,0.224,1.48,35.1,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0",NA,NA
"35170000","2",1971-03-01,"1","1","208","0.968","39.3","31","14","1","1","1","21.7","1",32.5,11.4,52.5,36.4,22.5,9.11,6.32,5.84,5.36,4.88,4.4,1.83,1.14,0.968,1.14,1.31,1.66,2,5.36,32.5,45,115,80.2,58.8,62,68.4,49.5,73.4,122,97.2,208,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35170000","2",1971-04-01,"1","1","284","48","140","1","30","1","1","1","21.7","1",284,277,219,186,176,182,265,186,161,126,165,174,132,104,90.4,81.9,78.5,135,81.9,52.5,58.8,83.6,204,153,133,81.9,87,132,68.4,48,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35170000","2",1971-05-01,"1","1","265","11.4","63.6","8","24","1","1","1","21.7","1",55.6,81.9,65.2,83.6,78.5,88.7,108,265,242,182,141,83.6,83.6,57.2,43.5,33.8,23.7,20.2,17.9,39,19.1,13.7,13,11.4,11.4,13,19.1,16.8,13.7,12.2,35.1,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35170000","2",1971-06-01,"1","1","45","2.96","12.6","5","30","1","1","1","21.7","1",24.8,33.8,43.5,31.2,45,29.9,19.1,17.9,13,10.6,8.34,7.57,7.57,8.34,7.57,6.8,5.36,4.88,4.88,4.4,3.92,8.34,5.84,3.92,3.92,3.92,3.92,3.44,4.4,2.96,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35170000","2",1971-07-01,"1","1","2.48","1.66","2.01","1","16","1","1","1","21.7","1",2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2,1.83,1.83,1.83,1.66,1.66,2,1.66,1.66,1.83,1.83,1.83,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35170000","2",1971-08-01,"1","1","1.66","0.452","1","1","31","1","1","1","21.7","1",1.66,1.66,1.48,1.48,1.48,1.48,1.48,1.31,1.31,1.14,1.14,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.796,0.796,0.796,0.796,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.452,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35170000","2",1971-09-01,"1","1","0.452","0","0.217","1","24","1","1","1","21.7","1",0.452,0.452,0.452,0.452,0.452,0.28,0.28,0.28,0.28,0.28,0.28,0.252,0.252,0.252,0.28,0.252,0.224,0.224,0.196,0.196,0.168,0.14,0.14,0,0,0,0,0,0,0,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35170000","2",1971-10-01,"1","1","0","0","0","1","1","1","1","1","21.7","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
