"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"35260000","2",1973-02-01,"1","1",NA,NA,NA,NA,NA,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7789,1.708,1.708,1.4159,1.2833,1.1592,1.2833,1.2833,1.4159,1.2833,1.2833,1.4159,5.1835,24.0936,4.0487,0.9355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1",NA,NA,NA,2017-11-14
"35260000","2",1973-03-01,"1","1","51.8151","0.5783","15.5233","28","1","1","1","1","0","0",0.5783,1.1592,9.2975,5.9504,6.7702,5.7537,51.2657,22.2413,20,10.3157,23.4066,20,39.1143,23.4066,10.8446,9.0512,7.4198,5.5603,3.7789,2.608,1.8681,1.5574,1.708,15.233,25.1518,13.3884,14.6049,51.8151,32.0842,30.0567,15.233,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35260000","2",1973-04-01,"1","1","173.42","2.4075","47.1186","15","6","1","1","1","0","0",9.5471,6.5603,5.3702,6.5603,4.8198,2.4075,8.5686,9.0512,30.4559,94.6161,98.6213,89.9406,114.761,166.673,173.42,97.0073,45.9628,35.0572,32.0842,20.7339,17.1967,12.8,12.2248,10.5785,14.2958,24.4433,62.932,92.2606,72.6386,41.9683,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-14
"35260000","2",1973-05-01,"1","1","43.4407","4.0487","12.1161","1","22","1","1","1","0","0",43.4407,42.9465,26.6053,18.9239,13.0925,11.114,9.2975,7.8694,17.8777,11.9421,15.552,15.233,12.8,10.0562,7.8694,7.2,5.9504,5.3702,5.1835,4.6263,4.3311,4.0487,4.0487,4.8198,5.5603,7.8694,9.5471,11.6628,13.0925,9.8,7.8694,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35260000","2",1973-06-01,"1","1","6.7702","0.9355","3.1185","1","30","1","1","1","0","0",6.7702,5.7537,5,5.9504,6.1504,5.9504,5.5603,4.8198,4.3311,3.7789,3.5213,3.2757,2.8194,2.8194,2.608,2.4075,2.2175,2.0378,1.8681,1.8681,1.8681,2.2175,1.5574,1.4159,1.2833,1.2833,1.1592,1.2833,1.0434,0.9355,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-14
"35260000","2",1973-07-01,"1","1","0.9355","0.4402","0.6213","28","25","1","1","1","0","0",0.8354,0.8354,0.8354,0.7426,0.7426,0.657,0.657,0.657,0.5783,0.5783,0.5783,0.5061,0.5061,0.5061,0.5061,0.5061,0.5061,0.5061,0.5783,0.5061,0.5061,0.5783,0.5783,0.5061,0.4402,0.5783,0.5783,0.9355,0.8354,0.7426,0.657,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35260000","2",1973-08-01,"1","1","0.5061","0.1304","0.2863","1","31","1","1","1","0","0",0.5061,0.5061,0.4402,0.4402,0.3802,0.3802,0.3802,0.3802,0.326,0.326,0.2772,0.2772,0.326,0.2772,0.2772,0.2772,0.2335,0.2335,0.2335,0.2335,0.2335,0.2335,0.2335,0.2335,0.1947,0.1947,0.1947,0.1947,0.1604,0.1604,0.1304,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35260000","2",1973-09-01,"1","1",NA,NA,"0.27",NA,NA,"0","0","2","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2020-11-18
"35260000","2",1973-10-01,"1","1",NA,NA,"0.34",NA,NA,"0","0","2","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2020-11-18
"35260000","2",1973-11-01,"1","1",NA,NA,"0.33",NA,NA,"0","0","2","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2020-11-18
"35260000","2",1973-12-01,"1","1",NA,NA,"0.55",NA,NA,"0","0","2","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2020-11-18
"35260000","2",1974-01-01,"1","1",NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4066,10.5785,13.0925,11.6628,27.7277,74.6808,19.2793,10.0562,6.9835,5.7537,39.1143,39.1143,35.0572,15.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35260000","2",1974-02-01,"1","1","37.7323","2.608","11.6809","27","16","1","1","1","0","0",14.9173,15.233,9.0512,8.0992,6.5603,6.1504,5.3702,11.6628,10.0562,7.4198,6.1504,5.1835,8.5686,6.9835,4.0487,2.608,2.608,2.8194,2.8194,5.5603,6.3537,10.3157,10.3157,30.4559,18.5719,34.6228,37.7323,36.8274,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,2017-11-14
"35260000","2",1974-03-01,"1","1","711.373","5.5603","109.674","27","8","1","1","1",NA,"0",41.4842,25.1518,16.2,10.8446,10.8446,9.2975,6.9835,5.5603,5.9504,5.7537,10.0562,17.5355,21.8595,40.0522,126.659,162.264,110.371,49.6383,35.0572,28.1081,55.7603,93.8269,107.786,318.697,442.142,330.297,711.373,350.764,124.782,71.296,53.4847,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35260000","2",1974-04-01,"1","1","496.697","38.1896","267.201","17","2","1","1","1",NA,"0",45.4516,38.1896,83.9265,299.387,330.297,312.18,183.844,412.818,363.046,485.24,492.981,288.456,293.111,382.861,294.672,407.098,496.697,359.511,440.149,194.634,218.639,274.758,175.705,204.538,116.545,230.599,164.46,127.603,111.241,187.399,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-14
"35260000","2",1974-05-01,"1","1","470.606","32.9175","140.587","3","24","1","1","1",NA,"0",456.241,434.204,470.606,205.796,136.294,83.1922,79.5788,59.8805,109.505,82.4618,78.1603,78.1603,88.4137,216.033,212.159,230.599,132.389,137.281,109.505,83.9265,54.6154,41.9683,40.5262,32.9175,118.347,89.1752,46.4775,43.4407,41.4842,73.3156,291.554,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35260000","2",1974-06-01,"1","1","133.359","4.3311","21.9625","1","30","1","1","1","0","0",133.359,93.8269,62.3144,43.9383,39.1143,32.4993,26.9764,23.0148,20,17.5355,15.552,13.6876,12.2248,11.3868,10.5785,9.5471,8.8083,8.0992,8.8083,8.8083,7.643,7.2,6.7702,6.1504,5.9504,5.5603,5.3702,5,4.8198,4.3311,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-14
"35260000","2",1974-07-01,"1","1","4.0487","0.5061","1.6962","1","30","1","1","1","0","0",4.0487,3.5213,3.2757,3.0418,2.8194,2.608,2.4075,2.2175,2.2175,2.0378,2.4075,2.0378,1.8681,1.708,1.5574,1.5574,1.4159,1.4159,1.2833,1.1592,1.0434,0.9355,0.9355,0.8354,0.7426,0.657,0.657,0.5783,0.5783,0.5061,0.5061,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35260000","2",1974-08-01,"1","1","0.5061","0.1304","0.243","3","23","1","1","1","0","0",0.4402,0.4402,0.5061,0.3802,0.3802,0.3802,0.326,0.326,0.2772,0.2772,0.2772,0.2772,0.2335,0.2335,0.2335,0.2335,0.2335,0.1947,0.1947,0.1947,0.1604,0.1604,0.1304,0.1304,0.1304,0.1304,0.1304,0.1304,0.1304,0.1304,0.1304,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35260000","2",1974-09-01,"1","1","0.1304","0.0821","0.104","1","27","1","1","1","0","0",0.1304,0.1304,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1304,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.0821,0.0821,0.0821,0.0821,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-14
"35260000","2",1974-10-01,"1","1","0.1044","0.0633","0.0816","17","28","1","1","1","0","0",0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.1044,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0633,0.0633,0.0821,0.0821,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35260000","2",1974-11-01,"1","1","0.0821","0.0243","0.0535","1","18","1","1","1","0","0",0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0821,0.0633,0.0633,0.0475,0.0346,0.0346,0.0243,0.0243,0.0243,0.0243,0.0243,0.0243,0.0243,0.0243,0.0243,0.0243,0.0346,0.0346,0.0633,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-14
"35260000","2",1974-12-01,"1","1","0.1304","0.003","0.0546","6","17","2","2","2","0","0",0.0243,0.0103,0.0103,0.0103,0.0163,0.1304,0.0821,0.0633,0.0633,0.0475,0.0475,0.0346,0.0346,0.0346,0.0346,0.0346,0.003,0.0059,0.0103,0.0163,0.0243,0.0475,0.0633,0.0821,0.1044,0.1304,0.1044,0.1044,0.1304,0.1044,0.0821,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1",2017-11-14
"35260000","2",1975-01-01,"1","1",NA,NA,"1.03",NA,NA,"0","0","2","0","0",0.0633,0.0633,0.0163,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2335,0.1947,0.1304,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,"1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1",2017-11-14
"35260000","2",1975-02-01,"1","1","12.5107","0.0821","1.9725","27","1","1","1","1","0","0",0.0821,0.1044,0.1604,0.1304,6.9835,0.9355,0.5783,0.5783,5.7537,1.0434,0.657,0.657,0.657,7.8694,2.2175,3.7789,0.9355,0.9355,0.657,0.5783,0.4402,0.3802,0.3802,0.4402,0.2772,0.326,12.5107,5.1835,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,2017-11-14
"35260000","2",1975-03-01,"1","1","42.4557","3.0418","12.6916","13","20","1","1","1","0","0",6.1504,19.2793,5.9504,4.3311,18.9239,16.2,12.2248,12.8,30.0567,23.747,13.9901,38.1896,42.4557,21.8595,13.3884,9.5471,6.9835,5.1835,3.7789,3.0418,5.9504,4.0487,3.7789,4.6263,8.0992,19.2793,15.233,9.2975,6.7702,5,3.2757,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35260000","2",1975-04-01,"1","1","20.3653","1.2833","5.3542","26","10","1","1","1","0","0",2.4075,1.8681,2.8194,2.8194,10.8446,4.3311,3.2757,2.608,1.708,1.2833,2.608,3.7789,3.5213,2.0378,2.0378,9.8,7.8694,5.3702,5.3702,3.7789,2.4075,1.8681,3.5213,6.9835,12.2248,20.3653,11.6628,8.3322,6.3537,6.7702,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-14
"35260000","2",1975-05-01,"1","1","260.005","5.5603","53.2332","20","1","1","1","1",NA,"0",5.5603,13.3884,20.7339,28.8781,62.932,131.423,115.651,77.4568,45.9628,41.4842,44.4393,31.2637,31.2637,57.5045,28.1081,20,51.2657,37.2782,127.603,260.005,136.294,86.1525,45.9628,30.0567,21.8595,18.5719,15.233,14.6049,15.233,17.1967,16.8611,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35260000","2",1975-06-01,"1","1","12.8","1.5574","4.3774","1","21","1","1","1","0","0",12.8,11.114,10.0562,9.0512,8.3322,7.4198,6.5603,6.1504,5.5603,5.3702,4.8198,5,4.8198,4.3311,3.5213,2.8194,2.4075,2.0378,1.8681,1.708,1.5574,1.5574,1.5574,1.5574,1.5574,1.5574,1.5574,1.5574,1.5574,1.5574,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-14
"35260000","2",1975-07-01,"1","1","1.4159","0.3802","0.6675","1","30","1","1","1","0","0",1.4159,1.0434,1.0434,0.8354,0.8354,0.7426,0.7426,0.7426,0.657,0.5783,0.7426,0.657,0.657,0.5783,0.5783,0.5061,0.4402,0.657,0.657,0.657,0.657,0.657,0.657,0.5783,0.5783,0.5783,0.5783,0.4402,0.4402,0.3802,0.3802,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35260000","2",1975-08-01,"1","1","0.2772","0.0475","0.1121","1","30","1","1","1","0","0",0.2772,0.2335,0.2335,0.2335,0.1947,0.1947,0.1604,0.1304,0.1304,0.1304,0.1044,0.1044,0.1044,0.1044,0.0821,0.0821,0.0821,0.0821,0.0821,0.0633,0.0633,0.0633,0.0633,0.0633,0.0633,0.0633,0.0633,0.0633,0.0633,0.0475,0.0475,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
