"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"36290000","2",1973-01-01,"1","1",NA,NA,NA,NA,NA,"0","0","0","0","0",NA,4.2862,4.7541,6.3049,6.3049,4.7541,4.7541,4.7541,4.7541,6.3049,5.2465,5.2465,4.7541,4.7541,4.7541,4.7541,4.7541,4.7541,4.7541,4.7541,4.7541,4.7541,4.7541,4.7541,4.7541,4.7541,4.7541,4.7541,4.2862,4.7541,4.7541,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36290000","2",1973-02-01,"1","1","40.6201","3.4237","6.5078","27","2","1","1","1",NA,"0",4.7541,3.4237,3.4237,3.4237,3.4237,4.7541,4.7541,4.7541,4.2862,4.2862,4.7541,6.8709,5.7634,4.7541,4.7541,4.7541,4.7541,4.7541,4.7541,4.7541,4.7541,4.7541,4.7541,4.7541,4.7541,3.8427,40.6201,22.0342,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,2017-11-13
"36290000","2",1973-03-01,"1","1","159.247","1.421","19.1574","14","9","1","1","1",NA,"0",5.7634,3.0291,1.9914,1.6941,9.8609,7.4615,5.2465,2.313,1.421,1.421,4.7541,14.8475,115.938,159.247,69.1681,18.6237,17.3261,13.0929,9.3592,11.974,9.8609,8.8683,8.8683,13.0929,11.974,6.3049,11.974,8.3883,11.974,11.974,16.0672,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36290000","2",1973-04-01,"1","1","410.457","11.974","153.273","13","6","1","1","1",NA,"0",24.9299,26.4324,22.7443,16.6918,14.8475,11.974,59.3195,82.036,89.4308,180.46,192.329,256.244,410.457,304.334,206.272,398.8,331.786,222.434,197.511,149.827,113.161,93.226,65.8163,47.1711,35.329,35.329,265.982,235.349,281.872,226.094,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36290000","2",1973-05-01,"1","1","164.046","7.9194","44.0649","1","25","1","1","1",NA,"0",164.046,146.74,117.337,98.3865,78.4374,50.1007,40.6201,32.7981,24.9299,47.1711,72.5879,125.873,78.4374,53.1025,31.9717,24.1922,19.2869,17.3261,14.8475,13.6677,12.5283,11.43,9.8609,8.8683,7.9194,7.9194,7.9194,8.3883,13.0929,14.2526,11.974,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36290000","2",1973-06-01,"1","1","11.43","1.6941","5.2132","2","15","1","1","1",NA,"0",10.8964,11.43,7.9194,6.8709,6.3049,5.7634,4.7541,4.2862,4.2862,3.0291,3.4237,3.0291,2.6588,2.313,1.6941,1.6941,2.313,2.6588,4.7541,8.8683,9.3592,6.8709,4.7541,3.4237,2.6588,3.0291,2.6588,3.4237,10.3734,10.8964,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36290000","2",1973-07-01,"1","1","7.9194","0.289","2.9384","1","24","1","1","1",NA,"0",7.9194,7.9194,6.8709,5.2465,4.2862,3.4237,2.6588,3.4237,2.313,1.6941,1.6941,1.6941,1.1722,0.9475,0.9475,0.7468,1.6941,2.6588,2.6588,2.6588,0.7468,0.5703,0.5703,0.289,0.289,0.9475,5.7634,5.7634,5.2465,5.2465,3.0291,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36290000","2",1973-08-01,"1","1","3.8427","0.103","0.8687","9","25","1","1","1",NA,"0",1.9914,1.421,0.9475,1.9914,1.1722,0.5703,0.5703,2.6588,3.8427,3.4237,1.9914,1.1722,0.7468,0.5703,0.289,0.5703,0.5703,0.289,0.289,0.289,0.289,0.1841,0.1841,0.1841,0.103,0.103,0.103,0.103,0.103,0.103,0.103,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36290000","2",1973-09-01,"1","1","0.103","0","0.0446","1","15","1","1","1",NA,"0",0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.0112,0.0112,0.0112,0,0.0112,0.103,0.0112,0.0112,0,0,0,0,0.0112,0,0,0.0112,0,0,0.0112,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36290000","2",1973-10-01,"1","1","1.1722","0","0.0393","2","3","1","1","1",NA,"0",0.0454,1.1722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
