"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"36160000","2",1973-01-01,"1","1",NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5893,111.92,23.9038,13.2669,8.4136,5.212,2.9471,2.1988,2.1988,1.8776,1.4569,1.3321,1.1043,1.0008,1.2146,1.1043,1.0008,0.904,0.7296,0.904,1.2146,2.7463,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36160000","2",1973-02-01,"1","1","4.917","0.6515","1.4846","27","13","1","1","1",NA,"0",2.5547,2.7463,1.8776,2.1988,1.3321,1.2146,1.1043,1.1043,1.0008,0.8137,0.8137,0.7296,0.6515,0.904,0.7296,0.6515,0.8137,1.0008,1.5893,1.5893,1.2146,0.904,0.7296,0.7296,1.0008,4.0994,4.917,2.5547,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,2017-11-13
"36160000","2",1973-03-01,"1","1","26.3865","0.7296","6.6286","26","10","1","1","1",NA,"0",1.5893,1.3321,1.5893,2.1988,1.2146,0.904,1.1043,1.0008,0.904,0.7296,0.7296,1.3321,25.7541,15.6379,12.7142,6.5096,3.8485,2.9471,2.7463,2.5547,2.1988,2.7463,6.5096,6.8646,5.8368,26.3865,23.9038,10.6568,6.8646,6.8646,19.3146,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36160000","2",1973-04-01,"1","1","894.167","6.8646","188.352","29","5","1","1","1",NA,"0",45.6021,35.3254,23.3028,18.7761,6.8646,10.1797,24.5127,54.4231,39.9017,68.1173,114.604,231.134,175.154,269.377,235.018,342.944,422.985,379.394,369.49,233.072,147.818,92.8255,76.65,63.0459,50.7989,47.3025,81.1099,497.217,894.167,599.454,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36160000","2",1973-05-01,"1","1","195.882","14.4199","51.8127","1","28","1","1","1",NA,"0",195.882,183.647,170.158,157.195,109.268,72.3192,52.595,49.0347,48.1646,46.4483,51.6929,43.1114,43.1114,36.0683,31.7295,28.331,26.3865,24.5127,22.7096,20.415,18.7761,18.2454,16.7,16.2717,16.2717,16.2717,15.0206,14.4199,26.3865,18.7761,16.2717,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36160000","2",1973-06-01,"1","1","13.8354","5.8368","8.3905","1","27","1","1","1",NA,"0",13.8354,12.7142,11.6552,10.6568,9.717,9.717,9.2686,8.8342,8.4136,8.4136,8.0066,7.2323,7.2323,7.2323,6.8646,6.8646,6.8646,7.2323,10.6568,10.1797,10.1797,8.4136,7.6129,7.2323,6.5096,6.1671,5.8368,6.1671,6.1671,5.8368,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36160000","2",1973-07-01,"1","1","23.3028","2.7463","5.4727","26","24","1","1","1",NA,"0",5.8368,5.8368,5.8368,5.5185,5.212,5.212,4.917,4.917,4.6334,4.361,4.361,4.0994,3.8485,3.8485,4.0994,3.8485,3.8485,3.608,3.608,3.3778,2.9471,2.9471,2.9471,2.7463,2.7463,23.3028,12.7142,8.8342,7.6129,6.5096,5.5185,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36160000","2",1973-08-01,"1","1","4.917","0.7296","2.2545","1","31","1","1","1",NA,"0",4.917,4.361,3.8485,3.8485,3.8485,3.3778,3.1576,2.9471,2.7463,2.5547,2.5547,2.5547,2.3723,2.3723,2.034,2.034,2.034,1.8776,1.8776,1.5893,1.5893,1.4569,1.3321,1.3321,1.2146,1.2146,1.1043,1.1043,1.0008,0.904,0.7296,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36160000","2",1973-09-01,"1","1","0.7296","0.1821","0.3958","1","27","1","1","1",NA,"0",0.7296,0.7296,0.7296,0.7296,0.6515,0.6515,0.5792,0.5124,0.5124,0.451,0.451,0.3947,0.3947,0.3433,0.2965,0.2542,0.2542,0.2965,0.3947,0.2965,0.2965,0.2542,0.2542,0.2542,0.2162,0.2162,0.1821,0.1821,0.1821,0.1821,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36160000","2",1973-10-01,"1","1","0.1821","0.027","0.0972","1","26","1","1","1",NA,"0",0.1821,0.1821,0.1821,0.1821,0.1821,0.1518,0.1518,0.1251,0.1017,0.0814,0.0814,0.0814,0.0814,0.0641,0.0641,0.0814,0.1017,0.1251,0.1251,0.1251,0.1017,0.1017,0.0814,0.0641,0.0493,0.027,0.027,0.027,0.027,0.027,0.027,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
