"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"36270000","2",1973-01-01,"1","1","0","0","0","1","1","4","4","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-13
"36270000","2",1973-03-01,"1","1",NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0042,3.9451,2.929,2.6828,2.201,7.5132,8.091,3.9451,10.1626,6.6596,9.8622,10.1626,9.2658,14.3463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36270000","2",1973-04-01,"1","1","278.151","6.6596","83.7739","13","5","1","1","1",NA,"0",12.487,21.8272,15.1175,9.8622,6.6596,53.9726,83.0725,80.8371,30.4565,33.5726,267.511,258.187,278.151,175.131,110.84,199.688,121.054,88.379,80.8371,54.6088,29.4439,20.062,17.5227,14.3463,11.0719,10.4644,19.6297,182.166,123.661,102.595,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36270000","2",1973-05-01,"1","1","83.0725","4.2062","19.0248","1","24","1","1","1",NA,"0",83.0725,73.5561,53.3393,35.7141,17.9368,20.062,15.1175,12.1271,10.1626,6.6596,32,57.8325,37.3534,17.9368,12.1271,8.9698,8.3824,8.6753,8.091,6.9423,5.8227,5.2749,4.4698,4.2062,4.2062,5.0042,4.7358,11.0719,8.091,5.8227,5.0042,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36270000","2",1973-06-01,"1","1","11.0719","1.9659","3.9718","28","14","1","1","1",NA,"0",4.2062,3.9451,2.929,2.6828,2.929,2.929,2.6828,2.44,2.201,2.6828,2.44,2.44,2.201,1.9659,1.9659,2.44,2.201,10.1626,7.8013,5.2749,4.2062,3.6868,3.1786,2.6828,2.44,2.6828,2.44,11.0719,9.8622,8.3824,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36270000","2",1973-07-01,"1","1","7.2269","1.0732","3.1477","1","23","1","1","1",NA,"0",7.2269,6.6596,4.7358,4.2062,3.4312,4.4698,3.1786,2.6828,2.44,2.44,2.44,2.201,1.9659,1.9659,1.7352,1.5091,4.2062,2.201,1.7352,1.5091,1.5091,1.2883,1.0732,1.2883,2.201,6.0997,4.4698,6.3787,4.4698,3.1786,2.6828,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36270000","2",1973-08-01,"1","1","6.3787","0.8647","2.0244","7","28","1","1","1",NA,"0",2.201,3.1786,2.929,1.5091,1.7352,1.9659,6.3787,5.2749,3.6868,2.929,3.6868,2.201,1.9659,1.9659,1.9659,1.9659,1.7352,1.2883,1.2883,1.2883,1.0732,1.2883,1.2883,1.0732,1.2883,1.0732,1.0732,0.8647,0.8647,0.8647,0.8647,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36270000","2",1973-09-01,"1","1","0.8647","0","0.5818","1","29","1","4","1",NA,"0",0.8647,0.8647,0.6638,0.6638,0.6638,0.6638,0.6638,0.6638,0.6638,0.6638,0.6638,0.6638,0.6638,0.6638,0.6638,0.6638,0.6638,0.6638,0.6638,0.6638,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0,0,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","4",NA,2017-11-13
"36270000","2",1973-10-01,"1","1","0.472","0","0.0435","22","1","1","4","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472,0.2919,0.2919,0.2919,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","1","1","1","4","4","4","4","4","4",2017-11-13
"36270000","2",1973-11-01,"1","1","0","0","0","1","1","4","4","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-13
"36270000","2",1973-12-01,"1","1","0","0","0","1","1","4","4","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-13
"36270000","2",1974-01-01,"1","1","39.0741","0","8.8911","24","1","1","4","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,3.4198,1.6122,0.4762,0.9815,2.1582,6.5425,3.887,7.4364,11.7833,3.887,20.722,16.4266,39.0741,22.543,20.2757,34.0859,38.5073,21.1718,12.8896,7.7438,"4","4","4","4","4","4","4","4","4","4","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36270000","2",1974-02-01,"1","1","389.499","5.4188","144.183","26","1","1","1","1",NA,"0",5.4188,6.2542,6.5425,37.383,45.511,41.3721,41.3721,50.0091,116.924,150.373,88.5611,50.9958,53.0056,71.4901,197.229,196.075,107.975,204.242,145.544,271.605,332.814,264.602,172.809,176.021,352.932,389.499,270.195,190.368,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,2017-11-13
"36270000","2",1974-03-01,"1","1","759.336","98.7161","266.624","11","20","1","1","2",NA,"0",203.062,199.549,169.635,125.449,178.183,144.589,159.316,183.659,132.54,197.229,759.336,492.265,602.96,533.1,389.499,494.017,367.094,221.206,127.199,98.7161,113.618,162.369,199.549,249.595,409.062,540.315,290.351,163.395,139.878,116.092,102.511,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2",2017-11-13
"36270000","2",1974-04-01,"1","1","852.573","56.6403","301.422","20","3","1","1","1",NA,"0",89.9698,84.418,56.6403,60.4269,200.716,261.832,492.265,302.278,235.133,198.387,144.589,155.302,337.421,407.419,263.215,218.73,312.962,492.265,525.919,852.573,723.086,831.536,650.5,331.283,256.349,170.689,166.497,79.0856,69.0641,72.1048,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36270000","2",1974-05-01,"1","1","83.7396","11.7833","34.8137","8","30","1","1","1",NA,"0",80.3983,72.1048,80.3983,59.8765,47.942,47.3298,42.5396,83.7396,62.6598,42.5396,49.5203,39.0741,39.0741,35.1722,28.3432,23.4749,22.543,26.3547,23.0072,20.2757,17.6758,16.4266,13.6477,14.4219,13.2666,12.8896,13.2666,14.815,12.1479,11.7833,12.5167,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36270000","2",1974-06-01,"1","1","10.7145","3.4198","6.3538","1","30","1","1","1",NA,"0",10.7145,10.3668,9.3498,9.6844,9.3498,9.3498,8.6938,8.3726,7.7438,7.7438,7.4364,6.5425,6.5425,5.9707,5.4188,5.4188,5.1504,4.8871,4.8871,4.3764,4.6291,4.3764,4.6291,4.8871,4.6291,4.3764,4.129,3.887,3.6506,3.4198,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36270000","2",1974-07-01,"1","1","3.6506","0.8427","2.3246","14","29","1","1","1",NA,"0",3.1947,2.9753,2.9753,2.7619,2.5545,2.5545,2.5545,2.7619,2.9753,3.1947,2.9753,2.5545,2.5545,3.6506,2.3532,2.3532,2.5545,2.5545,2.3532,1.9696,1.9696,1.7875,1.6122,1.7875,1.7875,1.6122,1.4437,1.4437,0.8427,1.6122,1.7875,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36270000","2",1974-08-01,"1","1","1.4437","0.5897","0.8272","1","23","1","1","1",NA,"0",1.4437,1.1281,1.1281,1.1281,1.1281,1.1281,0.9815,0.9815,0.9815,0.9815,0.9815,0.8427,0.8427,0.8427,0.7119,0.7119,0.7119,0.7119,0.7119,0.7119,0.7119,0.7119,0.5897,0.5897,0.5897,0.5897,0.7119,0.5897,0.5897,0.5897,0.5897,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36270000","2",1974-09-01,"1","1","1.4437","0.7119","0.9409","24","12","1","1","1",NA,"0",0.8427,0.8427,0.8427,0.8427,0.8427,0.8427,0.8427,0.8427,0.8427,0.8427,0.8427,0.7119,0.7119,0.7119,0.8427,0.8427,0.8427,0.9815,0.8427,0.8427,0.9815,1.1281,1.2822,1.4437,1.2822,1.2822,1.1281,1.1281,1.1281,0.8427,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
