"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"36045000","2",1979-02-01,"1","1",NA,NA,NA,NA,NA,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,9.4563,0.9182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","4","4","4","4","1","1",NA,NA,NA,2017-11-13
"36045000","2",1979-03-01,"1","1","5.3842","0.0806","0.7688","10","8","1","1","1","0","0",0.432,0.3459,0.1822,0.135,0.1148,0.1148,0.0967,0.0806,0.0806,5.3842,2.1118,4.8222,2.5165,1.1674,0.8437,0.5863,0.48,0.3459,0.272,0.2095,0.2095,0.1822,0.1574,0.1574,0.1148,0.1148,0.1148,0.1148,0.1148,1.458,0.7735,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36045000","2",1979-04-01,"1","1","1.5646","0.0197","0.2295","26","22","1","1","1","0","0",0.5313,0.272,0.2095,0.1822,0.135,0.1148,0.0806,0.0806,0.0806,0.0806,0.0806,0.0806,0.0806,0.0806,0.054,0.054,0.054,0.034,0.034,0.034,0.034,0.0197,0.0197,0.0197,0.272,1.5646,0.2095,0.8437,0.7735,0.7735,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36045000","2",1979-05-01,"1","1","8.9184","0.0664","1.1075","1","28","1","1","1","0","0",8.9184,4.028,1.6764,1.458,7.0594,2.8391,1.9155,1.9155,0.7735,0.6449,0.432,0.3459,0.272,0.2095,0.1574,0.1574,0.1574,0.1574,0.135,0.1148,0.1148,0.1148,0.1148,0.0967,0.0967,0.0806,0.0806,0.0664,0.0664,0.0664,0.0664,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36045000","2",1979-06-01,"1","1","0.0664","0","0.0166","1","18","1","1","1","0","0",0.0664,0.054,0.054,0.054,0.054,0.0432,0.0432,0.034,0.034,0.0197,0.0143,0.0101,0.0101,0.0043,0.0013,0.0013,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-13
"36045000","2",1979-07-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-13
"36045000","2",1979-08-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-13
"36045000","2",1979-09-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-13
"36045000","2",1979-10-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-13
"36045000","2",1979-11-01,"1","1","6.8994","0","0.3424","19","1","1","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8994,1.7933,0.3075,0.3873,0.3075,0.3075,0.0967,0.0664,0.034,0.034,0.0197,0.0197,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36045000","2",1979-12-01,"1","1","0.0664","0","0.0096","1","16","1","1","1","0","0",0.0664,0.0664,0.0664,0.054,0.034,2e-04,2e-04,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-13
"36045000","2",1980-01-01,"1","1","9.8222","0","2.2603","14","1","1","1","1","0","0",0,0,0,0,2.0432,0.8437,1.458,1.458,0.9968,2.0432,2.0432,2.0432,0.7072,9.8222,6.8994,7.0594,7.5485,5.5287,4.1563,3.6534,3.6534,1.2595,1.458,1.458,0.6449,0.6449,0.9182,0.6449,0.3873,0.3873,0.3075,"4","4","4","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36045000","2",1980-02-01,"1","1","184.637","0.0806","25.5599","18","6","1","1","1","0","0",0.2095,0.1574,0.1574,0.1148,0.1148,0.0806,0.0806,0.1148,0.2394,0.5313,55.5657,11.7367,3.0631,2.5165,17.3565,8.9184,25.2041,184.637,35.4729,31.4898,23.0637,15.9794,12.9524,6.7409,51.1055,134.412,60.5709,31.7892,26.8607,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,2017-11-13
"36045000","2",1980-03-01,"1","1","56.7049","0.432","13.065","4","30","1","1","1","0","0",31.7892,24.9322,28.5609,56.7049,42.9944,55.5657,22.5409,17.8259,18.5398,14.8682,12.7464,7.384,11.7367,11.9359,11.7367,6.7409,6.584,4.4177,3.1777,3.1777,2.3105,2.0432,0.7735,0.7735,1.0798,0.9182,0.9182,0.8437,0.5313,0.432,0.432,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36045000","2",1980-04-01,"1","1","1.2595","0.1148","0.4463","5","22","1","1","1","0","0",0.432,0.3459,0.3459,1.0798,1.2595,1.0798,0.9182,0.9182,0.8437,0.8437,0.7735,0.6449,0.6449,0.5313,0.272,0.272,0.272,0.272,0.2394,0.2095,0.1574,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36045000","2",1980-05-01,"1","1","0.2394","0.0002","0.0954","6","31","1","1","1","0","0",0.1148,0.1148,0.1148,0.1148,0.1148,0.2394,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.0806,0.0806,0.0806,0.0806,0.0806,0.0806,0.0806,0.054,0.0197,0.0101,0.0043,2e-04,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36045000","2",1980-06-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-13
"36045000","2",1980-07-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-13
"36045000","2",1980-08-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-13
"36045000","2",1980-09-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-13
"36045000","2",1980-10-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-13
"36045000","2",1980-11-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-13
"36045000","2",1980-12-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-13
"36045000","2",1981-01-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-13
"36045000","2",1981-02-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,NA,NA,2017-11-13
"36045000","2",1981-03-01,"1","1","210.864","0","17.9361","24","1","1","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.864,163.994,16.6621,11.7367,9.8222,6.7409,55.1882,81.0129,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","1","1","1","1","1","1","1",2017-11-13
"36045000","2",1981-04-01,"1","1","95.6664","0.432","14.3257","2","29","1","1","1","0","0",36.7378,95.6664,80.1307,52.5751,40.3104,46.8012,19.7553,12.5417,7.7146,4.8222,3.7766,3.294,3.294,3.1777,3.4121,2.0432,2.0432,2.0432,2.1118,1.2595,0.9968,0.6449,0.6449,0.6449,0.6449,0.6449,0.6449,0.5313,0.432,0.432,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36045000","2",1981-05-01,"1","1","0.432","0.054","0.2059","1","26","1","1","1","0","0",0.432,0.432,0.432,0.432,0.3459,0.3459,0.3459,0.3459,0.272,0.272,0.272,0.272,0.272,0.1574,0.1574,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.1148,0.1148,0.0967,0.054,0.054,0.054,0.054,0.054,0.054,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36045000","2",1981-06-01,"1","1","0.0197","0","0.0048","1","16","1","1","1","0","0",0.0197,0.0197,0.0197,0.0101,0.0101,0.0101,0.0101,0.0101,0.0101,0.0101,0.0101,0.0013,0.0013,0.0013,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-13
"36045000","2",1981-07-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-13
"36045000","2",1981-08-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-13
"36045000","2",1981-09-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-13
"36045000","2",1981-10-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-13
"36045000","2",1981-11-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-13
