"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"35125000","2",1979-03-01,"1","1","14.8648","0.0063","2.8921","29","15","1","1","1","0","0",0.7969,3.4366,2.2236,14.6404,1.7562,1.1433,0.572,0.322,0.1751,0.0985,0.0412,0.0206,0.1751,0.0412,0.0063,0.0673,0.0673,0.0412,0.0412,0.0673,0.6435,1.3355,0.504,7.8753,2.2236,1.6466,4.0441,8.8147,14.8648,13.5342,8.435,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35125000","2",1979-04-01,"1","1","11.1988","0.6435","2.9337","29","15","2","2","2","0","0",4.0441,2.8706,2.3475,1.9842,1.6466,1.4362,1.3355,1.1433,1.0519,1.0519,0.8786,0.8786,0.7969,0.7969,0.6435,0.7185,1.0519,1.4362,1.4362,0.7969,1.0519,1.9842,1.7562,3.0081,7.6695,7.8753,8.0605,8.2471,11.1988,8.8147,NA,"1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,2017-11-14
"35125000","2",1979-05-01,"1","1","9.5895","1.7562","3.9403","19","31","2","2","2","0","0",4.8603,3.4366,3.1483,2.7358,2.3475,2.2236,1.9842,1.8688,2.4742,2.7358,2.6036,4.0441,7.4659,8.8147,6.6746,5.5574,5.031,6.4825,9.5895,7.8753,5.5574,3.8884,3.0081,2.7358,2.6036,2.3475,2.2236,2.2236,1.9842,1.8688,1.7562,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",2017-11-14
"35125000","2",1979-06-01,"1","1",NA,NA,"0.5",NA,NA,"0","0","2","0","0",1.6466,1.6466,1.5399,1.4362,1.3355,1.3355,1.2378,1.1433,1.0519,1.0519,0.9637,0.9637,0.9637,0.8786,0.8786,0.8786,0.7969,0.7969,0.7969,0.7185,0.7185,0.7185,0.6435,0.6435,0.6435,0.572,0.572,0.572,0.504,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,NA,2013-08-23
"35125000","2",1979-07-01,"1","1",NA,NA,"0.84",NA,NA,"0","0","2","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2013-08-23
"35125000","2",1979-08-01,"1","1",NA,NA,"0.34",NA,NA,"0","0","2","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2013-08-23
"35125000","2",1979-09-01,"1","1",NA,NA,"0.36",NA,NA,"0","0","2","0","0",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"1","1","1","1","1","1","1","1","1","4","4","4","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2013-08-23
"35125000","2",1979-10-01,"1","1","0","0","0","1","1","1","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-14
"35125000","2",1979-11-01,"1","1","0","0","0","1","1","1","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-14
"35125000","2",1979-12-01,"1","1",NA,NA,NA,NA,NA,"0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1",NA,NA,"1","1",2013-08-23
"35125000","2",1980-01-01,"1","1",NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-14
"35125000","2",1980-02-01,"1","1","81.7127","0","13.7197","29","1","1","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7286,42.7286,42.7286,45.0799,43.3122,42.7286,56.8506,81.7127,NA,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","1","1","1","1","1","1","1",NA,NA,2013-08-23
"35125000","2",1980-03-01,"1","1","98.833","11.822","32.1483","3","31","1","1","1","0","0",31.794,60.1082,98.833,55.5658,15.0903,15.5445,15.0903,15.7732,16.932,17.1668,20.8069,16.6982,33.7865,39.5702,41.57,48.9962,49.9165,48.6908,51.153,34.8627,32.3659,28.1553,33.7865,36.4997,25.4519,31.794,22.8353,19.0811,13.9734,12.8837,11.822,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2013-08-23
"35125000","2",1980-04-01,"1","1","42.7286","0","14.9502","17","22","2","2","2","0","0",3.5846,3.7352,5.3795,5.7377,26.254,40.7086,42.1479,30.3782,17.6394,15.0903,12.0321,24.3947,18.8383,12.6691,23.611,35.9511,42.7286,38.4434,12.4556,12.4556,10.9934,0,0,0,4.5264,0,0.0063,0.7969,4.3631,3.5846,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2013-08-23
"35125000","2",1980-05-01,"1","1","1.0519","0","0.3761","5","1","1","1","1","0","0",0,0,0.3789,0.7185,1.0519,0.9637,0.2689,0.2199,0,0.0063,0.0673,0.1346,0.0206,0.7185,0.6435,0.7969,0.572,0.6435,0.3789,0.3789,0.2199,0.2689,0.2689,0.2199,0.2689,0.0063,0.6435,0,1.0519,0.1751,0.572,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2013-08-23
"35125000","2",1980-06-01,"1","1","0.0412","0","0.0023","13","1","1","1","1","0","0",0,0.0206,0,0,0,0,0,0,0.0063,0,0,0,0.0412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2013-08-23
"35125000","2",1980-07-01,"1","1","0","0","0","1","1","1","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2013-08-23
"35125000","2",1980-08-01,"1","1",NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-14
"35125000","2",1980-09-01,"1","1",NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-14
"35125000","2",1980-10-01,"1","1",NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-14
"35125000","2",1980-11-01,"1","1",NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-14
"35125000","2",1980-12-01,"1","1",NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-14
"35125000","2",1981-01-01,"1","1",NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-14
"35125000","2",1981-02-01,"1","1",NA,NA,NA,NA,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,NA,NA,2017-11-14
"35125000","2",1981-03-01,"1","1","93.7676","0","11.8613","30","1","1","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2236,1.8688,0.8786,17.1668,25.4519,25.9857,26.7929,46.2724,72.3642,93.7676,54.9274,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","1","1","1","1","1","1","1","1","1","1",2013-08-23
