"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"36250000","2",1973-01-01,"1","1",NA,NA,NA,NA,NA,"0","0","0","0","0",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36250000","2",1973-02-01,"1","1","7.1269","0","0.2818","28","1","1","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1153,0.6492,7.1269,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,2017-11-13
"36250000","2",1973-03-01,"1","1","5.6887","0.6079","1.8656","15","21","1","1","1",NA,"0",5.5839,2.099,1.4588,1.1765,1.1232,1.0709,0.9204,0.7351,0.6492,0.8256,1.0709,1.6405,2.099,4.5811,5.6887,3.8404,2.1684,1.4588,1.0709,0.6916,0.6079,0.6916,0.7351,0.6492,2.9143,2.6807,2.3823,1.1765,1.0197,2.0306,2.9939,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36250000","2",1973-04-01,"1","1","38.7393","0.5678","8.2544","12","5","1","1","1","0","0",3.1561,2.099,1.4003,0.8724,0.5678,0.7351,1.5184,3.7518,2.1684,16.6085,19.0024,38.7393,21.3469,17.7883,16.2777,14.1973,11.2362,11.0959,10.2701,3.7518,2.1684,1.4588,1.5184,1.1765,0.9204,1.0709,14.0423,15.7869,6.0084,6.8967,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36250000","2",1973-05-01,"1","1","3.1561","0.007","0.8714","1","31","1","1","1",NA,"0",3.1561,2.2387,2.5296,3.1561,2.4555,1.703,1.6405,1.2309,0.7351,0.7351,0.7351,0.7351,0.7351,0.7798,0.6916,0.5678,0.6492,0.5289,0.3522,0.2902,0.2334,0.2334,0.207,0.207,0.207,0.0782,0.0474,0.0782,0.0345,0.0345,0.007,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36250000","2",1973-06-01,"1","1","2.7576","0","0.415","27","3","1","1","1","0","0",0.007,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2334,0.207,0.1361,0.1361,0.096,0.0782,0.0782,0.062,0.0345,0.0234,1.5184,2.7576,2.4555,2.31,2.31,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36250000","2",1973-07-01,"1","1","2.1684","0.0345","0.324","1","31","1","1","1",NA,"0",2.1684,1.0709,0.8724,0.6492,0.5678,0.5678,0.5289,0.3851,0.3206,0.2612,0.207,0.1153,0.1361,0.1361,0.1361,0.1361,0.1361,0.1361,0.1361,0.0782,0.096,0.1153,0.096,0.1153,0.1153,0.1583,0.1583,0.1583,0.1361,0.1153,0.0345,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36250000","2",1973-08-01,"1","1","0.6492","0.0021","0.2051","10","27","1","1","1",NA,"0",0.1361,0.1153,0.096,0.0782,0.2612,0.3851,0.3522,0.4546,0.6079,0.6492,0.6079,0.4911,0.4192,0.3522,0.2902,0.2334,0.182,0.182,0.1583,0.1153,0.062,0.0234,0.0345,0.0234,0.0234,0.0142,0.0021,0.0021,0.0021,0.0021,0.0021,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36250000","2",1973-09-01,"1","1","0.0021","0","0.0001","1","2","1","1","1","0","0",0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36250000","2",1973-10-01,"1","1","0.0021","0","0.0007","17","1","1","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0,0,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36250000","2",1973-11-01,"1","1","0.007","0","0.0018","15","5","1","1","1","0","0",0.0021,0.0021,0.0021,0.0021,0,0,0,0,0,0,0,0,0.0021,0.0021,0.007,0.007,0.007,0.007,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0,0,0,0,0,0,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36250000","2",1973-12-01,"1","1","0.0021","0","0.0016","5","1","1","1","1","0","0",0,0,0,0,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0,0,0,0,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36250000","2",1974-01-01,"1","1","19.7114","0","2.611","24","9","1","1","1","0","0",0.0142,0.207,0.2902,0.2334,0.2334,0.182,0.0474,0.0021,0,0,0,0,0,0,0,0,0.0021,0.0021,0.0142,0.4911,1.2309,4.4855,9.6027,19.7114,17.1099,13.888,6.0084,2.8355,1.8311,1.2863,1.2309,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36250000","2",1974-02-01,"1","1","138.173","1.0197","51.2152","19","1","1","1","1","0","0",1.0197,1.4003,2.099,3.1561,7.1269,6.7828,31.6523,118.518,81.5966,45.1589,22.847,17.6177,11.0959,6.1166,10.4058,99.0001,74.3602,85.371,138.173,135.106,65.563,60.4844,55.6554,52.1945,86.1385,89.251,75.0653,51.0712,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,2017-11-13
"36250000","2",1974-03-01,"1","1","266.021","10.9564","76.3211","14","8","1","1","1","0","0",37.805,37.805,114.808,119.457,56.8395,28.2255,17.2785,10.9564,16.7749,70.2153,166.555,203.451,191.904,266.021,250.89,168.874,94.8623,55.6554,31.6523,23.6132,17.1099,24.0003,25.7754,20.2504,45.1589,66.8722,41.1368,29.6159,33.7727,30.4205,68.1974,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36250000","2",1974-04-01,"1","1","219.497","7.3603","63.134","18","4","1","1","1","0","0",40.6502,16.1134,10.5423,7.3603,17.9597,52.1945,94.8623,127.133,102.389,62.9922,45.1589,46.727,77.2052,91.6301,93.2376,40.1671,37.805,219.497,215.415,126.158,70.896,51.0712,50.5151,48.8694,61.1055,24.9798,17.4477,16.4427,14.6666,12.8284,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
