"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"36520000","2",1973-01-01,"1","1",NA,NA,NA,NA,NA,"0","0","0","0","0",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36520000","2",1973-02-01,"1","1","0","0","0","1","1","1","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,2017-11-13
"36520000","2",1973-03-01,"1","1","73.4058","0","6.7508","25","1","1","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.4058,44.5812,33.1659,30.1092,21.5346,3.239,3.239,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36520000","2",1973-04-01,"1","1","780.86","3.9997","172.494","9","5","1","1","2",NA,"0",7.5102,7.5102,4.81,4.81,3.9997,3.9997,3.9997,210.669,780.86,780.86,593.305,278.599,403.316,357.875,234.266,137.158,100.335,79.4954,62.6564,53.3722,48.0365,41.2099,30.1092,25.7067,28.617,27.1493,27.1493,215.828,310.8,310.8,NA,"1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36520000","2",1973-05-01,"1","1","173.562","18.8885","49.0097","3","22","1","1","1",NA,"0",84.6877,148.173,173.562,100.335,48.0365,48.0365,44.5812,37.9252,37.9252,37.9252,52.4704,37.9252,37.9252,33.1659,28.617,22.8988,20.1976,23.591,22.8988,22.8988,22.8988,18.8885,32.3929,32.3929,36.316,34.7295,37.1178,62.6564,66.5019,70.4202,41.2099,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36520000","2",1973-06-01,"1","1","41.2099","3.239","12.3472","1","30","1","2","2",NA,"0",41.2099,35.5199,22.8988,22.8988,22.8988,22.8988,18.8885,18.8885,7.5102,7.5102,7.5102,7.5102,7.5102,7.5102,7.5102,8.9978,7.5102,7.5102,7.5102,7.5102,7.5102,7.5102,11.6609,7.5102,7.5102,7.5102,7.5102,7.5102,5.2328,3.239,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2",NA,2017-11-13
"36520000","2",1973-07-01,"1","1","3.239","0.0739","1.5188","1","24","1","1","1",NA,"0",3.239,3.239,3.239,3.239,2.5321,1.8837,1.8837,1.8837,1.8837,1.8837,1.8837,1.8837,1.3006,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.57,0.0739,0.0739,0.373,1.0362,2.2002,1.8837,1.8837,1.8837,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36520000","2",1973-08-01,"1","1","1.8837","0","0.4927","1","10","1","1","1","0","0",1.8837,1.8837,1.8837,1.8837,1.8837,1.8837,1.8837,1.8837,0.2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36520000","2",1973-09-01,"1","1","0","0","0","1","1","1","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36520000","2",1973-10-01,"1","1","0","0","0","1","1","1","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36520000","2",1973-11-01,"1","1","0","0","0","1","1","1","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36520000","2",1973-12-01,"1","1","0","0","0","1","1","1","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
