"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"36470000","2",1973-02-01,"1","1",NA,NA,NA,NA,NA,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5176,1.8308,0.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1",NA,NA,NA,2017-11-13
"36470000","2",1973-03-01,"1","1","2.0419","0.0678","0.3088","23","21","2","2","2","0","0",0.2044,0.1238,0.1238,0.1238,0.1607,0.1607,0.1607,0.1607,0.2044,0.2044,0.2044,0.2044,0.2552,0.2552,0.2552,0.1607,0.381,0.2044,0.1238,0.093,0.0678,0.0678,2.0419,0.9904,0.638,0.457,0.3139,0.2044,0.457,0.3139,0.2552,"1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36470000","2",1973-04-01,"1","1","102.838","0.0678","29.2312","29","8","1","1","1","0","0",0.2044,0.1607,0.1607,0.1607,0.1238,0.1238,0.1238,0.0678,0.0678,0.0678,11.3873,28.7594,27.3493,85.8738,72.8692,49.1244,39.273,27.3493,29.4733,40.863,34.6327,26.6533,23.9305,21.9542,20.0361,18.7906,45.7585,79.7824,102.838,88.9757,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36470000","2",1973-05-01,"1","1","139.717","1.6349","21.5055","1","23","1","1","1","0","0",139.717,84.8481,74.8229,56.0931,36.9283,28.7594,20.0361,13.5316,12.9839,40.863,33.8786,22.6066,14.0869,11.9117,7.9235,5.9531,4.7116,3.9881,3.3427,2.7711,2.5114,1.8308,1.6349,2.5114,5.9531,6.8914,5.104,3.9881,7.3955,5.104,3.9881,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36470000","2",1973-06-01,"1","1","11.3873","1.8308","5.264","18","10","1","1","1","0","0",3.048,3.9881,3.048,2.7711,4.3398,3.6559,3.3427,2.5114,2.0419,1.8308,4.7116,4.3398,3.048,3.3427,3.048,5.104,9.3713,11.3873,10.871,8.8883,6.8914,6.4108,6.8914,5.104,4.3398,3.9881,11.3873,7.9235,5.9531,4.3398,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36470000","2",1973-07-01,"1","1","9.8628","0.5425","1.7698","26","24","1","1","1","0","0",3.3427,2.7711,2.2686,2.2686,1.8308,3.3427,2.7711,2.5114,2.2686,1.8308,1.2859,1.1317,1.1317,0.9904,0.7441,0.8614,0.7441,0.7441,0.7441,0.638,0.638,0.638,0.638,0.5425,0.5425,9.8628,3.048,1.4534,1.2859,1.1317,0.8614,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36470000","2",1973-08-01,"1","1","2.0419","0.0319","0.4855","8","31","1","1","1","0","0",0.7441,0.638,0.638,0.5425,0.457,0.3139,1.6349,2.0419,1.1317,0.8614,0.638,0.457,0.457,0.381,0.381,0.381,0.381,0.381,0.3139,0.3139,0.3139,0.3139,0.2552,0.2552,0.2044,0.2044,0.1238,0.1238,0.0678,0.0678,0.0319,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36470000","2",1973-09-01,"1","1","2.5114","0.0319","0.418","11","1","1","1","1","0","0",0.0319,0.0319,0.1238,0.0678,0.0678,0.0319,0.0319,0.0319,0.0319,0.0319,2.5114,2.2686,1.6349,0.9904,0.638,0.5425,0.457,0.381,0.381,0.3139,0.3139,0.3139,0.3139,0.2044,0.2044,0.2044,0.1238,0.1238,0.0678,0.0678,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36470000","2",1973-10-01,"1","1",NA,NA,"0.8",NA,NA,"0","0","2","0","0",0.0319,0.093,0.1238,0.0678,0.0319,0.0116,0.0025,1e-04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-11-13
"36470000","2",1973-11-01,"1","1",NA,NA,"0.72",NA,NA,"0","0","2","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2017-11-13
