"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"36110000","2",1967-01-01,"1","1","0.74","0","0.0252581","21","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.038,0.005,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"36110000","2",1967-02-01,"1","1","87.5","1.79","16.2071","17","8","1","1","1",NA,"0",8.9,3.3,7.08,39.9,6.99,3.43,2.75,1.79,7.55,5.22,3.38,2.94,3.72,7.08,4.28,24.7,87.5,24.2,48.6,35.7,20.2,10.1,8.7,11,31.4,23.2,11.9,8.29,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA
"36110000","2",1967-03-01,"1","1","105","1.57","25.1277","24","7","1","1","1",NA,"0",7.52,5.16,3.55,2.71,2.05,1.58,1.57,11.6,8.4,17.1,10.2,6.69,4.4,5.73,11.7,89.8,24.8,19.6,19.6,37.4,23.6,32.4,47.1,105,36.8,21.6,66.3,25.4,22.2,44.7,62.7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"36110000","2",1967-04-01,"1","1","227","4.26","46.379","10","30","1","1","1",NA,"0",33.6,16,47.7,35,143,139,105,90.5,102,227,67.2,40,45.5,61.2,24.7,49.8,25.8,27.1,17.5,16.8,12.7,15.4,8.92,7.4,6.74,6.04,5.45,5.33,4.73,4.26,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA
"36110000","2",1967-05-01,"1","1","57.9","1.27","7.26161","9","31","1","1","1",NA,"0",3.75,3.78,13.2,6.77,5.37,5.95,5.19,3.95,57.9,26.4,20.6,9.94,6.63,6.17,5.74,5.98,5.47,4.17,3.3,3.02,2.83,2.94,2.74,2.45,2.01,1.75,1.63,1.51,1.39,1.31,1.27,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"36110000","2",1967-06-01,"1","1","2.24","0.494","0.883767","9","30","1","1","1",NA,"0",1.15,1.12,1.02,0.936,0.872,0.839,1,1.75,2.24,1.4,1.11,0.986,0.872,0.822,0.822,0.772,0.74,0.708,0.69,0.658,0.658,0.658,0.658,0.658,0.576,0.576,0.576,0.576,0.576,0.494,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA
"36110000","2",1967-09-01,"1","1","0.038","0","0.00613333","1","7","1","1","1",NA,"0",0.038,0.038,0.038,0.033,0.025,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA
"36110000","2",1967-10-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"36110000","2",1967-11-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA
"36110000","2",1967-12-01,"1","1","0","0","0","1","1","1","1","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
