"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"36210000","2",1965-01-01,"1","1",NA,NA,NA,NA,NA,"0","0","0","0","0",NA,0.0113,0.0082,0.0082,0.0082,0.0113,0.0248,0.6184,0.7767,0.6685,0.4832,0.4429,0.3357,0.2749,0.2749,0.3043,0.3693,0.4832,1.3259,1.3259,0.896,0.5708,0.4429,0.4832,0.4832,0.5708,0.5258,0.96,0.7213,0.5258,0.405,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36210000","2",1965-02-01,"1","1","3.24","0.2749","0.8272","25","6","1","1","1","0","0",0.3693,0.3357,0.3357,0.3043,0.3043,0.2749,0.2749,0.3043,0.3693,0.405,0.3693,0.3043,0.2749,0.3043,0.3357,0.3693,0.405,0.8349,2.6859,1.4949,0.896,0.7213,1.0969,2.9543,3.24,1.6778,0.96,0.96,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,2017-11-13
"36210000","2",1965-03-01,"1","1","34.8999","0.7213","8.6164","25","2","2","2","2","0","0",1.3259,0.7213,0.896,0.7213,0.896,0.7767,0.96,1.6778,0.96,0.896,0.96,1.4949,2.0871,1.5846,4.313,3.24,4.0814,3.9665,2.4343,1.6778,3.8521,4.7827,29.1761,27.341,34.8999,30.0945,26.3773,23.2103,20.1178,17.2557,14.3311,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2",2017-11-13
"36210000","2",1965-04-01,"1","1",NA,NA,"1.65",NA,NA,"0","0","2",NA,"0",11.5087,8.9361,6.3642,6.1158,6.489,6.3642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8977,23.0538,20.2706,17.7024,15.0532,16.0744,8.5408,6.489,7.7599,NA,"2","2","1","1","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2","2","2","1","1","1","1",NA,2017-11-13
"36210000","2",1965-05-01,"1","1","9.3346","0.4429","2.1667","3","16","1","1","1","0","0",7.631,8.9361,9.3346,5.6244,4.313,1.7746,1.875,3.0949,2.1989,2.0871,1.7746,2.3146,1.5846,1.4087,1.7746,0.4429,1.0969,0.96,0.896,0.7767,0.96,0.7213,0.6685,0.6685,0.6184,0.7213,0.6184,0.5708,0.5258,0.5258,0.6685,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36210000","2",1965-06-01,"1","1","0.896","0.3043","0.5793","4","29","1","1","1","0","0",0.8349,0.7767,0.7213,0.896,0.7213,0.6685,0.896,0.7767,0.6685,0.5708,0.4429,0.405,0.3693,0.4832,0.5258,0.7213,0.8349,0.7213,0.6184,0.5708,0.5258,0.4832,0.4429,0.405,0.405,0.405,0.4429,0.3357,0.3043,0.405,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36210000","2",1965-07-01,"1","1","0.3357","0.0902","0.1919","1","30","1","1","1","0","0",0.3357,0.1981,0.1981,0.2749,0.2749,0.3357,0.2474,0.1981,0.2749,0.2474,0.2474,0.2474,0.1981,0.1558,0.1761,0.1371,0.1558,0.12,0.1558,0.1981,0.1981,0.1981,0.12,0.12,0.1558,0.1371,0.1761,0.12,0.12,0.0902,0.1371,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36210000","2",1965-08-01,"1","1","0.2218","0.0003","0.0461","14","13","1","1","1","0","0",0.0554,0.0657,0.0554,0.0462,0.0309,0.0195,0.0195,0.0248,0.0309,0.0309,0.015,0.0024,3e-04,0.2218,0.1371,0.0902,0.0462,0.0462,0.038,0.0462,0.0554,0.0462,0.0309,0.0248,0.0113,0.0248,0.0082,0.015,0.0195,0.1044,0.0657,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36210000","2",1965-09-01,"1","1","0.2218","0.0014","0.0239","1","24","1","1","1","0","0",0.2218,0.0309,0.0309,0.038,0.0309,0.0195,0.015,0.0248,0.0248,0.038,0.0248,0.0309,0.0195,0.0309,0.0309,0.0195,0.0195,0.0113,0.0082,0.0058,0.0058,0.0039,0.0024,0.0014,0.0014,0.0014,0.0039,0.015,0.0014,0.0058,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36210000","2",1965-10-01,"1","1","3.0949","0.015","0.2363","7","1","1","1","1","0","0",0.015,0.015,0.0309,0.038,0.0554,0.6685,3.0949,0.7767,0.4429,0.2749,0.1981,0.1761,0.1558,0.1371,0.12,0.12,0.1044,0.1044,0.1371,0.0902,0.0902,0.0773,0.0773,0.0657,0.0554,0.0554,0.0554,0.0309,0.0195,0.0248,0.0195,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
