"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"36125000","2",1973-01-01,"1","1",NA,NA,NA,NA,NA,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7247,42.7859,16.6114,1.8335,0.2653,0.0276,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36125000","2",1973-02-01,"1","1","0.0276","0","0.0016","1","5","1","1","1","0","0",0.0276,0.0117,0.0068,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,2017-11-13
"36125000","2",1973-03-01,"1","1","28.2872","0","1.7828","13","1","1","1","1","0","0",0,0,0,0,0,4e-04,0,0,0,0,0,0,28.2872,8.7364,4.493,2.0066,0.8438,0.3704,0.1186,0.0394,0.0068,0.7465,0.2653,0.1482,0.2212,0.0394,0.0117,0.0933,0.0719,1.9193,6.8481,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36125000","2",1973-04-01,"1","1","155.814","4.7316","45.4771","28","6","1","1","1","0","0",16.8802,9.2983,29.3946,9.6844,5.2222,4.7316,8.1947,10.8979,8.9214,19.1221,47.0876,45.146,77.2676,112.408,81.3564,41.8625,54.0128,75.2662,149.002,78.6177,46.5977,25.7992,21.5288,18.2623,14.3043,12.8769,13.8188,155.814,119.109,51.8267,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36125000","2",1973-05-01,"1","1","77.2676","1.7695","13.4751","2","24","1","1","1","0","0",54.567,77.2676,51.2878,42.7859,27.9236,22.1565,16.0813,16.8802,16.0813,11.7537,9.8809,8.1947,7.0087,6.0772,5.3594,4.493,4.0295,3.6942,3.4766,2.8535,2.1853,2.0066,1.8335,1.7695,2.0952,2.1853,2.1853,3.4766,3.5848,2.3695,2.1853,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36125000","2",1973-06-01,"1","1","2.656","1.0629","1.4417","18","7","1","1","1","0","0",1.9193,1.7695,1.458,1.1854,1.317,1.1854,1.0629,1.6087,1.9193,1.317,1.317,1.1854,1.1854,1.1854,1.1854,1.1854,1.0629,2.656,2.2767,2.1853,2.0952,1.458,1.458,1.317,1.317,1.1854,1.0629,1.0629,1.0629,1.0629,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36125000","2",1973-07-01,"1","1","2.9542","0.3704","0.91","25","18","1","1","1","0","0",0.9491,0.8438,0.8438,0.8438,0.7465,0.657,0.657,0.657,0.575,0.575,0.575,0.575,0.5001,0.432,0.432,0.432,0.432,0.3704,0.3704,0.3704,0.3704,0.3704,0.3704,0.3704,2.9542,2.7541,2.8535,2.2767,1.9193,1.1854,0.9491,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36125000","2",1973-08-01,"1","1","0.657","0.054","0.205","1","28","1","1","1","0","0",0.657,0.575,0.5001,0.432,0.432,0.3704,0.2653,0.2653,0.2212,0.2212,0.1823,0.1823,0.1823,0.1823,0.1823,0.1482,0.1482,0.1186,0.1186,0.1186,0.1186,0.0933,0.0933,0.0933,0.0933,0.0719,0.0719,0.054,0.054,0.054,0.054,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-13
"36125000","2",1973-09-01,"1","1","0.054","0.0068","0.0238","1","28","1","1","1","0","0",0.054,0.054,0.054,0.0394,0.0394,0.0394,0.0276,0.0276,0.0276,0.0276,0.0276,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0185,0.0117,0.0117,0.0117,0.0068,0.0068,0.0068,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-13
"36125000","2",1973-10-01,"1","1",NA,NA,"0.05",NA,NA,"0","0","2","0","0",0.0068,0.0068,0.0068,0.0068,0.0068,0.0035,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-11-13
