"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"35650000","2",1973-02-01,"1","1","55.06",NA,NA,"26",NA,"1","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.85,24.3,21.68,20.45,19.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.06,43.3,33.1,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0",NA,NA
"35650000","2",1973-03-01,"1","1","44.36","22.5","25.514","27","5","1","1","1",NA,"0",28.5,25.65,24.75,22.95,22.5,60.05,52.38,46.5,38.66,38.08,63.7,119,14.9,6.632,6.311,10.86,6.632,4.718,3.962,3.606,3.606,16.06,18.73,14.15,7.836,24.3,33.86,23.96,27.26,12.65,8.18,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35650000","2",1973-04-01,"1","1","60.18","5.566","17.9286","21","6","1","1","1",NA,"0",6.311,9.392,8.382,6.976,6.46,5.566,5.864,6.46,17.8,39.38,37.46,23.96,26.15,10.2,29.64,30.05,12.65,8.786,9.392,12.18,53.06,12.9,10.42,25.78,26.52,18.11,32.1,16.06,11.74,18.11,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35650000","2",1973-05-01,"1","1","22.94","4.466","8.69158","26","23","1","1","1",NA,"0",12.9,11.52,11.3,9.796,7.664,6.013,5.864,10.86,9.19,14.15,14.15,7.492,8.18,7.492,6.632,9.796,7.148,5.715,5.715,5.268,5.119,4.592,4.466,11.52,15.19,16.93,9.796,7.836,6.311,5.417,5.417,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35650000","2",1973-06-01,"1","1","21.58","3.71","6.34813","15","30","1","1","1",NA,"0",5.566,6.162,5.417,9.998,7.836,6.162,6.311,5.566,4.844,6.804,6.162,4.718,4.214,4.844,18.73,8.988,6.804,7.492,7.148,5.566,4.97,6.976,6.162,5.417,4.97,6.013,4.97,4.088,3.836,3.71,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"35650000","2",1973-07-01,"1","1","4.592","2.878","3.33039","28","24","1","1","1",NA,"0",3.71,3.71,3.502,3.71,3.502,3.294,3.398,3.294,3.294,3.294,3.502,3.836,3.502,3.294,3.19,3.086,2.982,2.982,3.19,3.294,3.086,2.982,2.982,2.878,2.878,2.878,3.606,4.088,3.71,3.398,3.19,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35650000","2",1973-08-01,"1","1","2.982","1.56","2.42161","1","31","1","1","1",NA,"0",2.982,2.878,2.774,2.774,2.67,2.774,2.774,2.774,2.67,2.585,2.5,2.5,2.415,2.585,2.67,2.67,2.585,2.585,2.5,2.33,2.075,1.99,1.905,2.16,2.33,2.245,2.075,2.075,1.905,1.755,1.56,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35650000","2",1973-09-01,"1","1",NA,NA,NA,NA,NA,"0","0","0",NA,"0",1.495,1.495,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA
"35650000","2",1974-01-01,"1","1","57.12",NA,NA,"28",NA,"1","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.65,4.718,4.34,4.34,3.398,3.606,8.18,6.976,6.46,4.592,10.86,20.9,57.12,20.59,12.65,7.32,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"35650000","2",1974-02-01,"1","1","16.35","4.466","6.91879","28","11","1","1","1",NA,"0",6.632,11.96,7.32,9.19,6.311,5.566,4.97,7.492,8.988,5.715,4.466,4.844,4.97,4.718,4.97,4.466,5.864,7.32,6.632,7.492,6.013,7.492,7.664,6.013,8.008,7.836,7.664,13.15,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0",NA,NA
