"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"35240000","2",1973-01-01,"1","1",NA,NA,NA,NA,NA,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6496,11.4243,3.8828,2.8184,2.8184,2.505,1.3421,1.1369,0.6318,0.5633,0.3834,0.2843,0.2013,0.1657,0.1657,1.9389,0.4391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35240000","2",1973-02-01,"1","1","61.2487","0.1057","4.6322","25","5","1","1","1","0","0",0.4991,0.3834,0.2843,0.2013,0.1057,0.2408,0.2408,0.2013,0.3834,0.2843,0.4991,0.7048,1.2372,4.9159,1.6856,1.1369,0.864,0.5633,3.6923,2.0729,4.0787,1.5663,1.0413,0.6318,61.2487,30.6558,6.5887,3.6923,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,2017-11-14
"35240000","2",1973-03-01,"1","1","93.4709","1.1369","14.0103","24","21","1","1","1","0","0",1.4518,1.2372,2.356,12.8603,8.5276,7.9459,16.0119,8.234,7.3865,5.8403,11.7746,10.7408,29.48,16.0119,9.7583,8.5276,8.234,2.8184,1.6856,1.3421,1.1369,4.4865,15.5974,93.4709,20.0101,28.9015,47.4904,27.2033,12.1308,7.3865,4.2799,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35240000","2",1973-04-01,"1","1","269.704","1.5663","46.9887","27","5","1","1","1","0","0",3.507,4.6985,3.3271,2.0729,1.5663,1.5663,10.0801,35.6099,89.1706,111.779,95.6623,71.1717,114.193,125.404,74.9814,42.3735,30.6558,21.4509,38.2387,15.1888,11.0797,11.0797,8.234,6.0843,7.9459,21.9432,269.704,103.55,42.3735,34.9685,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-14
"35240000","2",1973-05-01,"1","1","26.6496","1.1369","9.3717","28","23","1","1","1","0","0",24.4966,23.4569,22.4417,19.0797,16.0119,9.7583,7.6634,6.0843,5.1387,8.234,23.9737,13.6131,9.7583,7.6634,6.0843,4.0787,3.1523,2.505,2.2119,1.9389,1.4518,1.2372,1.1369,1.1369,6.8491,1.9389,16.8586,26.6496,8.5276,3.8828,3.507,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35240000","2",1973-06-01,"1","1","4.2799","0.1338","1.0314","4","30","1","1","1",NA,"0",2.6591,1.9389,1.4518,4.2799,2.6591,2.0729,1.4518,1.0413,0.864,0.7048,0.6318,0.4991,0.4391,0.4391,0.4991,0.4391,0.3834,0.3318,0.3834,0.3834,0.2843,0.2013,0.3318,0.2408,0.2013,4.0787,1.2372,0.4391,0.2408,0.1338,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-14
"35240000","2",1973-07-01,"1","1","7.115","0.0008","0.3028","23","17","1","1","1","0","0",0.1057,0.0602,0.0426,0.0426,0.0284,0.0172,0.0172,0.0172,0.009,0.009,0.009,0.0036,0.0036,0.0036,0.0036,0.0036,8e-04,8e-04,8e-04,8e-04,8e-04,8e-04,7.115,0.864,0.3834,0.2408,0.1657,0.1057,0.0602,0.0426,0.0284,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35240000","2",1973-08-01,"1","1","0.0172","0","0.0022","1","8","1","1","1","0","0",0.0172,0.0172,0.0172,0.009,0.0036,0.0036,8e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35240000","2",1973-09-01,"1","1","0","0","0","1","1","4","4","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-14
"35240000","2",1973-10-01,"1","1","0","0","0","1","1","4","4","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-14
