"estacaocodigo","nivelconsistencia","data","mediadiaria","metodoobtencaovazoes","maxima","minima","media","diamaxima","diaminima","maximastatus","minimastatus","mediastatus","mediaanual","mediaanualstatus","vazao01","vazao02","vazao03","vazao04","vazao05","vazao06","vazao07","vazao08","vazao09","vazao10","vazao11","vazao12","vazao13","vazao14","vazao15","vazao16","vazao17","vazao18","vazao19","vazao20","vazao21","vazao22","vazao23","vazao24","vazao25","vazao26","vazao27","vazao28","vazao29","vazao30","vazao31","vazao01status","vazao02status","vazao03status","vazao04status","vazao05status","vazao06status","vazao07status","vazao08status","vazao09status","vazao10status","vazao11status","vazao12status","vazao13status","vazao14status","vazao15status","vazao16status","vazao17status","vazao18status","vazao19status","vazao20status","vazao21status","vazao22status","vazao23status","vazao24status","vazao25status","vazao26status","vazao27status","vazao28status","vazao29status","vazao30status","vazao31status","datains"
"35668000","2",1984-03-01,"1","1","16.7789","0","1.607","27","1","1","4","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,1.8188,0.3001,2.5288,2.211,0.6383,0.2203,0.0357,0.1552,0.0168,1.5486,0.5709,0.508,3.1033,4.8551,16.7789,5.7877,3.1033,1.6364,4.0006,"4","4","4","4","4","4","4","4","4","4","4","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35668000","2",1984-04-01,"1","1","48.5322","0.6383","6.8985","20","30","1","1","1",NA,"0",1.1464,5.4682,11.374,11.8242,3.2249,2.5288,3.4747,1.6364,0.7875,11.152,6.1158,4.1376,1.4721,7.1512,3.8658,29.8165,3.3487,2.0104,4.8551,48.5322,11.5981,6.4524,5.7877,6.4524,6.7975,1.8188,1.7265,1.0488,0.7105,0.6383,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-14
"35668000","2",1984-05-01,"1","1","61.2131","0.3001","10.2398","20","2","1","1","1",NA,"0",0.3956,0.3001,0.7105,16.7789,45.4729,7.5134,5.0052,2.7519,25.0791,17.3193,4.0006,3.3487,12.2827,30.5249,11.374,5.4682,3.3487,3.1033,2.8668,61.2131,11.374,11.8242,13.7076,7.3313,4.4181,3.2249,2.211,1.7265,1.2494,0.8695,0.6383,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35668000","2",1984-06-01,"1","1","8.4559","0.186","1.204","6","28","1","1","1",NA,"0",0.5709,0.4496,0.3956,0.3001,3.3487,8.4559,3.6029,3.1033,2.5288,1.7265,1.2494,0.7875,0.5709,0.5709,0.508,0.3956,0.2583,0.3458,0.3458,0.2583,0.4496,0.3458,2.3147,1.1464,0.7105,0.4496,0.3001,0.186,0.2583,0.186,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-14
"35668000","2",1984-07-01,"1","1","0.186","0.0104","0.0565","20","30","1","1","1",NA,"0",0.1277,0.0824,0.0824,0.0642,0.0487,0.0487,0.0642,0.0487,0.0642,0.0642,0.0487,0.0357,0.0357,0.0252,0.0252,0.0252,0.0252,0.1552,0.0824,0.186,0.1277,0.0642,0.0642,0.0252,0.0252,0.0252,0.0168,0.0168,0.0252,0.0104,0.0104,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35668000","2",1984-08-01,"1","1","0.0104","0","0.0008","1","8","1","4","1",NA,"0",0.0104,0.0058,0.0027,0.0027,0.0027,9e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","1","1","1","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-14
"35668000","2",1984-09-01,"1","1","0.0252","0","0.0013","3","1","1","4","1",NA,"0",0,0,0.0252,0.0104,0.0027,9e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"4","4","1","1","1","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-14
"35668000","2",1984-10-01,"1","1","0","0","0","1","1","4","4","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-14
"35668000","2",1984-11-01,"1","1","0","0","0","1","1","4","4","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",NA,2017-11-14
"35668000","2",1984-12-01,"1","1","0","0","0","1","1","4","4","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",2017-11-14
"35668000","2",1985-01-01,"1","1","4.5616","0","0.5206","31","1","1","4","1",NA,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1552,0.8695,0.0357,0.0027,0.0058,1.8188,0.7875,0.5709,3.1033,2.3147,1.9135,4.5616,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35668000","2",1985-02-01,"1","1","66.2624","3.6029","26.8691","25","1","1","1","1",NA,"0",3.6029,4.7073,54.4638,21.9339,13.465,41.2666,27.0618,19.5621,26.7264,62.2078,57.3106,42.9259,26.0615,21.6304,13.9523,15.9835,11.374,6.9733,10.0733,6.7975,11.5981,17.8679,46.7724,48.0894,66.2624,36.0888,16.2466,21.3289,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,2017-11-14
"35668000","2",1985-03-01,"1","1","166.744","6.1158","33.2277","20","11","1","1","1",NA,"0",55.4051,17.0481,67.2951,40.8567,14.4478,22.5469,34.9407,12.9859,10.2849,7.1512,6.1158,12.2827,10.0733,10.4985,14.9515,20.4364,29.8165,13.7076,86.0029,166.744,59.2466,24.7556,57.7917,37.2545,25.0791,19.5621,33.8103,25.732,44.6161,19.8515,28.7686,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35668000","2",1985-04-01,"1","1","121.514","12.515","40.862","16","25","1","1","1",NA,"0",15.4635,31.9654,73.6495,79.1521,41.2666,22.8565,41.6785,118.785,59.2466,34.5619,33.0664,24.4341,18.1452,14.9515,71.5011,121.514,73.1096,26.3929,16.7789,28.08,17.3193,22.2394,42.9259,14.199,12.515,15.4635,12.7494,15.7225,68.3352,57.7917,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-14
"35668000","2",1985-05-01,"1","1","55.8786","2.984","15.032","14","31","1","1","1",NA,"0",18.4245,39.6384,18.1452,35.3215,13.7076,12.515,12.515,16.5118,13.465,8.8477,6.9733,21.3289,45.9041,55.8786,15.4635,15.2065,10.9321,8.4559,7.8841,8.4559,6.7975,5.7877,9.8638,23.168,8.0726,6.283,5.0052,4.5616,4.4181,3.4747,2.984,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35668000","2",1985-06-01,"1","1","13.465","1.1464","2.871","14","24","1","1","1",NA,"0",2.4206,2.1096,1.7265,1.4721,1.6364,1.6364,1.5486,2.3147,2.1096,1.9135,1.9135,3.1033,4.5616,13.465,8.2632,4.5616,3.7332,2.7519,4.0006,3.6029,2.6393,1.8188,1.3579,1.1464,1.3579,2.1096,1.8188,1.4721,1.2494,2.3147,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,2017-11-14
"35668000","2",1985-07-01,"1","1","8.6507","0.7105","3.3562","1","27","1","1","1",NA,"0",8.6507,4.4181,3.3487,1.8188,2.1096,2.8668,6.7975,6.1158,5.6269,4.5616,3.6029,3.8658,3.7332,3.2249,5.3117,8.0726,4.1376,3.3487,2.984,2.4206,2.3147,2.4206,2.1096,1.6364,1.2494,0.9565,0.7105,1.0488,1.6364,1.4721,1.4721,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35668000","2",1985-08-01,"1","1","1.5486","0.0824","0.5209","1","25","1","1","1",NA,"0",1.5486,1.2494,1.0488,0.8695,0.7105,0.5709,1.0488,0.9565,0.7875,0.6383,0.5709,0.5709,0.508,0.4496,0.3956,0.3458,0.3001,0.3001,0.2583,0.2203,0.186,0.1552,0.1277,0.1035,0.0824,0.2583,0.4496,0.3956,0.3956,0.3458,0.3001,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2017-11-14
"35668000","2",1985-09-01,"1","1","0.2583","0","0.1322","1","26","1","4","1",NA,"0",0.2583,0.2583,0.2203,0.2203,0.186,0.1552,0.1277,0.1277,0.1035,0.1035,0.0824,0.1552,0.2203,0.2203,0.186,0.1552,0.1277,0.1277,0.1552,0.186,0.186,0.1552,0.0824,0.0824,0.0824,0,0,0,0,0,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","4","4","4","4",NA,2017-11-14
